model_name,dataset_name,subset_scope,seed,quick_run,baseline_name,method_family,source,representation,readout,classifier,status,failure_reason,feature_shape,train_samples,validation_samples,test_samples,train_pos,validation_pos,test_pos,best_val_threshold,test_pr_auc,test_average_precision,test_roc_auc,test_f1,test_precision,test_recall,test_balanced_accuracy,test_tpr_at_1pct_fpr,test_fpr_at_95pct_tpr,best_epoch,early_stopped,converged,selected_probe,halp_layer_indices,num_halp_candidates,selection_metric,feature_seconds,train_eval_seconds,total_seconds
qwen3-vl-8b,repope,"popular,random,adversarial",20260506,False,halp_official_mlp,halp_official,halp_official,official_halp_probe_family,halp_probe,halp_mlp,success,,7986x4096,4795,1579,1612,192,48,38,0.6525523066520691,0.5381751981566049,0.5536439069653452,0.9784825787467397,0.52,0.41935483870967744,0.6842105263157895,0.8306694308834348,0.5789473684210527,0.07750952986022872,,,,query_token_layer_27,"0,9,18,27,35",11,validation_roc_auc_then_pr_auc,326.0029478550423,1.4859227379783988,327.4888712260872
qwen3-vl-8b,repope,"popular,random,adversarial",20260506,False,linear_probe_final_hidden_logreg,linear_probe,linear_probe,final_hidden,logreg,logreg,success,,7986x4096,4795,1579,1612,192,48,38,0.8875237703323364,0.5414553636477906,0.5504009695543886,0.9628335451080051,0.5,0.45652173913043476,0.5526315789473685,0.768374239283087,0.4473684210526316,0.14294790343074967,,,,,,,,4.063473958987743,5.832021097885445,9.895497860154137
qwen3-vl-8b,repope,"popular,random,adversarial",20260506,False,linear_probe_mean_layer_hidden_logreg,linear_probe,linear_probe,mean_layer_hidden,logreg,logreg,success,,7986x4096,4795,1579,1612,192,48,38,0.9232459664344788,0.5037352006418447,0.51955111405081,0.9591887915468468,0.6075949367088608,0.5853658536585366,0.631578947368421,0.8103892195546044,0.42105263157894735,0.1340533672172808,,,,,,,,4.867977126967162,4.694778088014573,9.562757804989815
