probe_name,feature_shape,validation_pr_auc,validation_average_precision,validation_roc_auc,validation_f1,validation_precision,validation_recall,selected
vision_only,7986x1152,0.5151994933502216,0.030398986700443317,0.5,0.05900430239704978,0.030398986700443317,1.0,False
vision_token_layer_0,7986x4096,0.055969984321983766,0.06249536141328069,0.578822392771609,0.1565217391304348,0.13432835820895522,0.1875,False
query_token_layer_0,7986x4096,0.13277085108890718,0.1392506608133496,0.6684764859568909,0.19298245614035087,0.16666666666666666,0.22916666666666666,False
vision_token_layer_9,7986x4096,0.03321949939055045,0.03547311383266609,0.5536822338340954,0.08034433285509325,0.04314329738058552,0.5833333333333334,False
query_token_layer_9,7986x4096,0.144990026542101,0.166737068546909,0.7917483126496843,0.2857142857142857,0.3793103448275862,0.22916666666666666,False
vision_token_layer_18,7986x4096,0.033314366153122825,0.03546447812268562,0.5496815806662312,0.07659574468085106,0.0481283422459893,0.1875,False
query_token_layer_18,7986x4096,0.333348791482476,0.34857163247759554,0.9122305682560418,0.5102040816326531,0.5,0.5208333333333334,False
vision_token_layer_27,7986x4096,0.051237327497125035,0.05608786031954104,0.6529229261920313,0.11920529801324503,0.07086614173228346,0.375,False
query_token_layer_27,7986x4096,0.7169668902161768,0.7194698096932908,0.9799559111691705,0.6419753086419753,0.7878787878787878,0.5416666666666666,False
vision_token_layer_35,7986x4096,0.0562491619656042,0.06194770352965578,0.6262927280644459,0.16260162601626016,0.13333333333333333,0.20833333333333334,False
query_token_layer_35,7986x4096,0.7188376305735432,0.7229074804196063,0.9867597430873067,0.6590909090909091,0.725,0.6041666666666666,True
