row_type,model_alias,model_name,objective,dataset_family,readout,split,eval_split,metric_split,eval_scope,negative_budget_ratio,negative_budget_seed,k,scale_id,num_bank_correct,bank_size,num_eval,all_k_evaluated,metric_status,failure_reason,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,threshold,num_samples
scale_candidate,llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,pope,Diag-kNN-scale-grid,test,test,test,pooled,0.5,20260506,2,k=2,1653,1653,1674,True,passed,,0.9683393070489845,0.5,0.0,0.0,0.0,0.9030880076356314,0.2533397668928573,0.26313428210968853,0.22641509433962265,0.23010487353485504,0.5,1674.0
scale_candidate,llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,pope,Diag-kNN-scale-grid,test,test,test,pooled,0.5,20260506,4,k=4,1653,1653,1674,True,passed,,0.9683393070489845,0.5,0.0,0.0,0.0,0.9098623025618939,0.2393259986039483,0.248937100235016,0.22641509433962265,0.2011104256631709,0.5,1674.0
scale_candidate,llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,pope,Diag-kNN-scale-grid,test,test,test,pooled,0.5,20260506,8,k=8,1653,1653,1674,True,passed,,0.9683393070489845,0.5,0.0,0.0,0.0,0.9102696914320301,0.19394838300713374,0.20459442492246135,0.16981132075471697,0.2122146822948797,0.5,1674.0
scale_candidate,llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,pope,Diag-kNN-scale-grid,test,test,test,pooled,0.5,20260506,16,k=16,1653,1653,1674,True,passed,,0.9683393070489845,0.5,0.0,0.0,0.0,0.9082211073993458,0.20807549476028925,0.2161046834886038,0.1509433962264151,0.23750771128932757,0.5,1674.0
scale_candidate,llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,pope,Diag-kNN-scale-grid,test,test,test,pooled,0.5,20260506,32,k=32,1653,1653,1674,True,passed,,0.9683393070489845,0.5,0.0,0.0,0.0,0.9088962089555714,0.20237991777280984,0.2100920638147445,0.11320754716981132,0.2418260333127699,0.5,1674.0
scale_candidate,llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,dash-b,Diag-kNN-scale-grid,test,test,test,pooled,0.5,20260506,1,k=1,326,326,436,True,passed,,0.555045871559633,0.5,0.0,0.0,0.0,0.7392647184118599,0.6789749425704869,0.6805462650975463,0.05154639175257732,0.6322314049586777,0.5,436.0
scale_candidate,llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,dash-b,Diag-kNN-scale-grid,test,test,test,pooled,0.5,20260506,2,k=2,326,326,436,True,passed,,0.555045871559633,0.5,0.0,0.0,0.0,0.7550268382039702,0.7021213730858704,0.7035960822200246,0.08247422680412371,0.6735537190082644,0.5,436.0
scale_candidate,llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,dash-b,Diag-kNN-scale-grid,test,test,test,pooled,0.5,20260506,4,k=4,326,326,436,True,passed,,0.5573394495412844,0.5025773195876289,1.0,0.005154639175257732,0.010256410256410256,0.7590312686376417,0.708921925556704,0.7101925606599688,0.08247422680412371,0.6983471074380165,0.5,436.0
scale_candidate,llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,dash-b,Diag-kNN-scale-grid,test,test,test,pooled,0.5,20260506,8,k=8,326,326,436,True,passed,,0.5573394495412844,0.5025773195876289,1.0,0.005154639175257732,0.010256410256410256,0.74064922893414,0.7017019303987315,0.7029773171313861,0.0979381443298969,0.7603305785123967,0.5,436.0
scale_candidate,llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,dash-b,Diag-kNN-scale-grid,test,test,test,pooled,0.5,20260506,16,k=16,326,326,436,True,passed,,0.5642201834862385,0.5103092783505154,1.0,0.020618556701030927,0.04040404040404041,0.7299991479935248,0.699238675209458,0.7004612484464192,0.08247422680412371,0.8140495867768595,0.5,436.0
scale_candidate,llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,dash-b,Diag-kNN-scale-grid,test,test,test,pooled,0.5,20260506,32,k=32,326,326,436,True,passed,,0.5825688073394495,0.531439038936696,0.9285714285714286,0.06701030927835051,0.125,0.73788020788958,0.7054050196811332,0.7066346967220627,0.08247422680412371,0.8099173553719008,0.5,436.0
scale_candidate,llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,repope,Diag-kNN-scale-grid,cal,cal,cal,pooled,0.5,20260507,1,k=1,1545,1545,799,True,passed,,0.9699624530663329,0.5,0.0,0.0,0.0,0.8966129032258064,0.34041304325565064,0.3499176238667819,0.25,0.29935483870967744,0.5,799.0
