model_name,dataset_family,variant,readout,eval_split,eval_scope,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
glm-4.6v-flash,dash-b,Sphere-Traj-MeanPool,Diag-Classifier,test,pooled,failed,glm-4.6v-flash/dash-b has no primary closeout population,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0
glm-4.6v-flash,dash-b,Sphere-Traj-MeanPool,Diag-KNN,test,pooled,failed,glm-4.6v-flash/dash-b has no primary closeout population,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0
glm-4.6v-flash,dash-b,Raw-Traj-LSTM,Diag-Classifier,test,pooled,failed,glm-4.6v-flash/dash-b has no primary closeout population,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0
glm-4.6v-flash,dash-b,Raw-Traj-LSTM,Diag-KNN,test,pooled,failed,glm-4.6v-flash/dash-b has no primary closeout population,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0
glm-4.6v-flash,dash-b,Sphere-Traj-LSTM,Diag-Classifier,test,pooled,failed,glm-4.6v-flash/dash-b has no primary closeout population,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0
glm-4.6v-flash,dash-b,Sphere-Traj-LSTM,Diag-KNN,test,pooled,failed,glm-4.6v-flash/dash-b has no primary closeout population,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0
qwen3-vl-8b,dash-b,Raw-Static,Diag-Classifier,test,pooled,passed,,0.9735048127395146,0.927090288301823,0.9985109740282246,0.9949336870026525,0.9881761244196519,0.99946964008157,0.9739571883108006,0.9741379310344828,0.009230769230769232,441,325,116,381,1310,357,2,0
qwen3-vl-8b,dash-b,Raw-Static,Diag-KNN,test,pooled,passed,,0.2324252945937895,0.1915116833812719,0.27564052901533115,0.48029177718832894,0.4260730812284859,0.5320362348906998,0.23606256345376558,0.0,0.8738461538461538,441,325,116,381,1310,357,2,0
qwen3-vl-8b,dash-b,Sphere-Static,Diag-Classifier,test,pooled,passed,,0.9796262938007031,0.9452977755010304,0.9985969076255148,0.9953580901856763,0.9892561220901231,0.9994102400265629,0.9798316128723686,0.9741379310344828,0.009230769230769232,441,325,116,381,1310,357,2,0
qwen3-vl-8b,dash-b,Sphere-Static,Diag-KNN,test,pooled,passed,,0.4675648418652439,0.39297193646163625,0.547483812882382,0.8193368700265252,0.7786830849316286,0.8553380181729711,0.4726614954307186,0.0,0.4,441,325,116,381,1310,357,2,0
qwen3-vl-8b,dash-b,Raw-Traj-MeanPool,Diag-Classifier,test,pooled,passed,,0.9823551914713908,0.9555466514627349,0.997867619806343,0.9953183023872679,0.989516709340757,0.9992082369002985,0.9823578214927216,0.9224137931034483,0.012307692307692308,441,325,116,381,1310,357,2,0
qwen3-vl-8b,dash-b,Raw-Traj-MeanPool,Diag-KNN,test,pooled,passed,,0.6713208510261266,0.5710195624050374,0.7644890649059433,0.8834748010610081,0.8487250071672299,0.9129469591809253,0.6756571707806396,0.11206896551724138,0.40615384615384614,441,325,116,381,1310,357,2,0
qwen3-vl-8b,dash-b,Sphere-Traj-MeanPool,Diag-Classifier,test,pooled,passed,,0.9886349808833218,0.973592858067818,0.9988220580404659,0.9962599469496021,0.9917508278635924,0.9995079113742124,0.9886923200566092,0.9568965517241379,0.009230769230769232,441,325,116,381,1310,357,2,0
qwen3-vl-8b,dash-b,Sphere-Traj-MeanPool,Diag-KNN,test,pooled,passed,,0.6644902958873053,0.5612781737925752,0.7620985939819679,0.8787002652519894,0.844715197534673,0.9094491252200269,0.6684809329693587,0.12931034482758622,0.36,441,325,116,381,1310,357,2,0
qwen3-vl-8b,dash-b,Raw-Traj-LSTM,Diag-Classifier,test,pooled,passed,,0.9587139332655017,0.921791674082488,0.9843545220958391,0.9880106100795756,0.9797502309775801,0.9947776621498956,0.9589768509716952,0.7241379310344828,0.052307692307692305,441,325,116,381,1310,357,2,0
qwen3-vl-8b,dash-b,Raw-Traj-LSTM,Diag-KNN,test,pooled,passed,,0.9192530125422209,0.8679921647625367,0.9601730355949816,0.9770291777188328,0.9643754349656594,0.988273600643493,0.9197438628092979,0.3793103448275862,0.05846153846153846,441,325,116,381,1310,357,2,0
qwen3-vl-8b,dash-b,Sphere-Traj-LSTM,Diag-Classifier,test,pooled,passed,,0.9655341498364138,0.9400749216895182,0.9827333701414597,0.9878249336870026,0.9799678402808012,0.9936085323902466,0.9656941072130193,0.7327586206896551,0.07076923076923076,441,325,116,381,1310,357,2,0
qwen3-vl-8b,dash-b,Sphere-Traj-LSTM,Diag-KNN,test,pooled,passed,,0.46533047881839484,0.3921694203007538,0.5437865257688683,0.8318037135278514,0.7907118243346573,0.8674762198167646,0.4690829718015686,0.0,0.24615384615384617,441,325,116,381,1310,357,2,0
internvl3.5-8b,dash-b,Raw-Static,Diag-Classifier,test,pooled,passed,,0.9901377901459553,0.980761735919827,0.997525393281261,0.9927411562301147,0.985228709294133,0.9985216873558931,0.9901627176569243,0.9470198675496688,0.010676156583629894,432,281,151,361,1293,402,11,0
internvl3.5-8b,dash-b,Raw-Static,Diag-KNN,test,pooled,passed,,0.47232227828429973,0.399231611110416,0.5544593329820393,0.6245669439796375,0.5721588736889514,0.678266436758984,0.47459643006300933,0.08609271523178808,0.7829181494661922,432,281,151,361,1293,402,11,0
internvl3.5-8b,dash-b,Sphere-Static,Diag-Classifier,test,pooled,passed,,0.9908824568421215,0.9818204514855222,0.9977811853432074,0.9932832127453984,0.9861987090295735,0.9986401165614376,0.9909054726701864,0.9536423841059603,0.0071174377224199285,432,281,151,361,1293,402,11,0
