model_name,dataset_family,variant,readout,eval_split,eval_scope,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
internvl3.5-8b,repope,Sphere-Traj-MeanPool,Diag-Classifier,test,pooled,passed,,0.6000478005301766,0.514693301363506,0.6851346163242479,0.9470235705683318,0.9310431109421958,0.9605248640279516,0.6041679641818636,0.14893617021276595,0.1650943396226415,1625,1484,141,1496,4041,352,15,0
internvl3.5-8b,repope,Raw-Traj-LSTM,Diag-Classifier,test,pooled,passed,,0.7295122537870561,0.654471479084538,0.7968261298742336,0.9713157844430426,0.9633400653437147,0.9783779951866026,0.73187856327921,0.3262411347517731,0.09501347708894879,1625,1484,141,1496,4041,352,15,0
internvl3.5-8b,repope,Sphere-Traj-LSTM,Diag-Classifier,test,pooled,passed,,0.6605003801951004,0.5767104783499636,0.7420363726902266,0.9661447879031179,0.9576040751793918,0.9739933983351633,0.664504778563634,0.18439716312056736,0.0977088948787062,1625,1484,141,1496,4041,352,15,0
minicpm-v-2_6,repope,Raw-Static,Diag-Classifier,test,pooled,passed,,0.26714038456600203,0.09925270609991375,0.4606127860325377,0.8603662524525834,0.7457826477116791,0.9507652803433444,0.2826478415438561,0.2727272727272727,0.7037279267495095,1551,1529,22,1529,3856,80,89,0
minicpm-v-2_6,repope,Sphere-Static,Diag-Classifier,test,pooled,passed,,0.1538854048801691,0.061109665890204765,0.30002049465225705,0.8348593852190975,0.6967262667096014,0.9492714221267892,0.19268552739276995,0.2727272727272727,0.868541530412034,1551,1529,22,1529,3856,80,89,0
minicpm-v-2_6,repope,Raw-Traj-MeanPool,Diag-Classifier,test,pooled,passed,,0.16338784080132784,0.06485182853329688,0.3500612583432632,0.8644092990070753,0.7651861435331063,0.9442799344818177,0.20246781867456323,0.18181818181818182,0.6193590582079791,1551,1529,22,1529,3856,80,89,0
minicpm-v-2_6,repope,Sphere-Traj-MeanPool,Diag-Classifier,test,pooled,passed,,0.13496444451562678,0.06012824766073423,0.26215102522748784,0.8800166478387539,0.8007450499951642,0.9424722239849666,0.16361539717056797,0.18181818181818182,0.49836494440810986,1551,1529,22,1529,3856,80,89,0
minicpm-v-2_6,repope,Raw-Traj-LSTM,Diag-Classifier,test,pooled,passed,,0.11594656408674342,0.062685082919767,0.18952183401811978,0.9425649562994233,0.9240566798134244,0.9600431235083479,0.13447201296625194,0.0,0.09483322432962721,1551,1529,22,1529,3856,80,89,0
minicpm-v-2_6,repope,Sphere-Traj-LSTM,Diag-Classifier,test,pooled,passed,,0.27624928176427205,0.10928819518366722,0.458364058191716,0.9474998513585825,0.9191716787979033,0.9714436904000568,0.2887738894243288,0.22727272727272727,0.17985611510791366,1551,1529,22,1529,3856,80,89,0
gemma-3-12b-it,repope,Raw-Static,Diag-Classifier,test,pooled,passed,,0.7025365578358465,0.6279286586345035,0.7680783619341859,0.9407230392156863,0.9194483031277131,0.9581539701744236,0.7033722227587363,0.3588235294117647,0.24097222222222223,1610,1440,170,1443,3978,425,30,0
gemma-3-12b-it,repope,Sphere-Static,Diag-Classifier,test,pooled,passed,,0.7123270292772227,0.640442295976782,0.7784743298887072,0.9453880718954247,0.9276190433705973,0.9604934268132276,0.7130211463097563,0.40588235294117647,0.19652777777777777,1610,1440,170,1443,3978,425,30,0
gemma-3-12b-it,repope,Raw-Traj-MeanPool,Diag-Classifier,test,pooled,passed,,0.6829976748713343,0.6148666809182327,0.7552879098251372,0.9346977124183007,0.9111780788007233,0.956827904447283,0.6845559020962912,0.2529411764705882,0.1326388888888889,1610,1440,170,1443,3978,425,30,0
gemma-3-12b-it,repope,Sphere-Traj-MeanPool,Diag-Classifier,test,pooled,passed,,0.7026939532018047,0.6339050041041224,0.7715863394772795,0.9397120098039216,0.9180609063894704,0.959237902567871,0.7040672515223184,0.3235294117647059,0.17222222222222222,1610,1440,170,1443,3978,425,30,0
gemma-3-12b-it,repope,Raw-Traj-LSTM,Diag-Classifier,test,pooled,passed,,0.6770795669860022,0.6040182646245206,0.7511071168535599,0.964922385620915,0.9561873558378106,0.9729906394802926,0.6794616099599536,0.14705882352941177,0.10486111111111111,1610,1440,170,1443,3978,425,30,0
gemma-3-12b-it,repope,Sphere-Traj-LSTM,Diag-Classifier,test,pooled,passed,,0.724708480764702,0.6547328688430435,0.7911614087878029,0.9657679738562092,0.9578412265045977,0.9740466604060758,0.7264859879006438,0.27647058823529413,0.09652777777777778,1610,1440,170,1443,3978,425,30,0
gemma-4-12b-it,repope,Raw-Static,Diag-Classifier,test,pooled,passed,,0.2044474379258107,0.11106615786645369,0.33090312711949854,0.9386514104778354,0.9005280068860222,0.9674323186165312,0.23113051386907396,0.20833333333333334,0.27374784110535405,1182,1158,24,1138,2990,64,44,414
gemma-4-12b-it,repope,Sphere-Static,Diag-Classifier,test,pooled,passed,,0.1869273008305352,0.1035032808165923,0.2965427182329847,0.9281807714450201,0.8777507997311023,0.9649544759997346,0.21149207345874307,0.041666666666666664,0.29015544041450775,1182,1158,24,1138,2990,64,44,414
