model_name,dataset_family,variant,readout,eval_split,eval_scope,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
internvl3.5-8b,repope,Raw-Traj-LSTM,Diag-KNN,test,pooled,passed,,0.3475873902892464,0.28920127827928616,0.42003098550667517,0.9114430999216225,0.8968136219447598,0.9253828204256197,0.35562363120481066,0.07801418439716312,0.14824797843665768,1625,1484,141,1496,4041,352,15,0
internvl3.5-8b,repope,Sphere-Traj-LSTM,Diag-KNN,test,pooled,passed,,0.1502853116659486,0.12892269767216807,0.17595994120371503,0.7659574468085106,0.743513382233781,0.7877677803683601,0.15302887012118094,0.0,0.3194070080862534,1625,1484,141,1496,4041,352,15,0
minicpm-v-2_6,repope,Raw-Static,Diag-KNN,test,pooled,passed,,0.008411612304768383,0.005021116180044654,0.012159783811774499,0.22207027766216778,0.1560669217772632,0.2936113801552567,0.009357532742562224,0.0,0.9829954218443427,1551,1529,22,1529,3856,80,89,0
minicpm-v-2_6,repope,Sphere-Static,Diag-KNN,test,pooled,passed,,0.009160208556585767,0.005377976495350115,0.013301601335792968,0.3003745763719603,0.21072719919092991,0.3950129445446427,0.010305416097999773,0.0,0.9516023544800524,1551,1529,22,1529,3856,80,89,0
minicpm-v-2_6,repope,Raw-Traj-MeanPool,Diag-KNN,test,pooled,passed,,0.04712240095848585,0.02298098989986449,0.08370784567843205,0.8282299780010702,0.7664694408954598,0.8793999931290366,0.05828690614627924,0.0,0.2916939175931982,1551,1529,22,1529,3856,80,89,0
minicpm-v-2_6,repope,Sphere-Traj-MeanPool,Diag-KNN,test,pooled,passed,,0.04053262392948294,0.019421422974285115,0.07085633090054838,0.7756109162256971,0.6849219122589095,0.8558113522091814,0.048705981888738765,0.0,0.5245258338783518,1551,1529,22,1529,3856,80,89,0
minicpm-v-2_6,repope,Raw-Traj-LSTM,Diag-KNN,test,pooled,passed,,0.018135671958394706,0.010146796716687173,0.028600060493158823,0.6437957072358641,0.578701709178295,0.7159533242549271,0.021166100955615566,0.0,0.5421844342707652,1551,1529,22,1529,3856,80,89,0
minicpm-v-2_6,repope,Sphere-Traj-LSTM,Diag-KNN,test,pooled,passed,,0.18761336198358788,0.04184333122584488,0.33374678374815153,0.8925025269040965,0.8655820983735618,0.9184153689796821,0.1919196974871432,0.13636363636363635,0.2092871157619359,1551,1529,22,1529,3856,80,89,0
gemma-3-12b-it,repope,Raw-Static,Diag-KNN,test,pooled,passed,,0.4293946003418733,0.3567436291436098,0.5095635195027284,0.8519158496732026,0.8230822959846508,0.8806162724086604,0.4358340482339521,0.11176470588235295,0.5736111111111111,1610,1440,170,1443,3978,425,30,0
gemma-3-12b-it,repope,Sphere-Static,Diag-KNN,test,pooled,passed,,0.2728739440295004,0.2262692188637833,0.32751472055161607,0.7972222222222223,0.7657406487087489,0.8274327412658365,0.2793223239767964,0.023529411764705882,0.6583333333333333,1610,1440,170,1443,3978,425,30,0
gemma-3-12b-it,repope,Raw-Traj-MeanPool,Diag-KNN,test,pooled,passed,,0.3307822079373043,0.2767564062950348,0.3948795107738134,0.8480351307189543,0.8239149761871193,0.8714608787577572,0.3399581708205265,0.01764705882352941,0.5006944444444444,1610,1440,170,1443,3978,425,30,0
gemma-3-12b-it,repope,Sphere-Traj-MeanPool,Diag-KNN,test,pooled,passed,,0.33103377485954577,0.2788302987611456,0.3936800847926189,0.8569607843137255,0.8344628740621313,0.8793187800347577,0.3399784129588848,0.023529411764705882,0.4625,1610,1440,170,1443,3978,425,30,0
gemma-3-12b-it,repope,Raw-Traj-LSTM,Diag-KNN,test,pooled,passed,,0.44745845066783735,0.3802549844281548,0.5291129489479348,0.868937908496732,0.842927816488971,0.8928863500989143,0.4535563909306593,0.09411764705882353,0.49444444444444446,1610,1440,170,1443,3978,425,30,0
gemma-3-12b-it,repope,Sphere-Traj-LSTM,Diag-KNN,test,pooled,passed,,0.35834453248183146,0.30660654590588166,0.41868736065301865,0.9005351307189543,0.8862899200631349,0.9155824029112085,0.36309015260743066,0.047058823529411764,0.1875,1610,1440,170,1443,3978,425,30,0
gemma-4-12b-it,repope,Raw-Static,Diag-KNN,test,pooled,passed,,0.13688726065183904,0.0627633287249658,0.23836256954888824,0.8720495106505469,0.810658100441442,0.9251280036529895,0.16937639770358112,0.125,0.35578583765112265,1182,1158,24,1138,2990,64,44,414
gemma-4-12b-it,repope,Sphere-Static,Diag-KNN,test,pooled,passed,,0.14700523015894362,0.06526353897024226,0.2915842213080913,0.8707181922855498,0.809684415158754,0.9233287617554858,0.19342774739754706,0.125,0.3609671848013817,1182,1158,24,1138,2990,64,44,414
gemma-4-12b-it,repope,Raw-Traj-MeanPool,Diag-KNN,test,pooled,passed,,0.1046064964863666,0.053104662167158465,0.1769778032505671,0.8729490500863557,0.8142882936481509,0.9219127441341205,0.12290606591035017,0.0,0.3601036269430052,1182,1158,24,1138,2990,64,44,414
gemma-4-12b-it,repope,Sphere-Traj-MeanPool,Diag-KNN,test,pooled,passed,,0.11661606746855391,0.05860455333087423,0.1996737512835248,0.8799294761082326,0.8227476570607365,0.9263750638879229,0.1406686136390296,0.125,0.344559585492228,1182,1158,24,1138,2990,64,44,414
