model_alias,model_name,dataset_family,encoder_family,objective,readout,support_family,eval_split,metric_split,eval_scope,negative_budget_ratio,negative_budget_seed,selected_k,selected_K,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,training_dataset_family,num_encoder_train_correct,num_encoder_train_hard_hallucination_available,num_encoder_train_hard_hallucination_used,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
gemma-3-12b-it,gemma-3-12b-it,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260508,32,,passed,,0.7295476744500227,0.6701543698615305,0.7880153261600392,0.952937091503268,0.9395574744106963,0.9646439769389739,0.7307870092080516,0.3588235294117647,0.16666666666666666,1610,1440,170,1443,repope,3553,425,212,3765,212,30,0
gemma-4-12b-it,gemma-4-12b-it,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260506,32,,passed,,0.2051050203433144,0.10698662173277065,0.33454701635062856,0.9367803684513529,0.9082448025574028,0.962540568919435,0.23175314176976267,0.25,0.15198618307426598,1182,1158,24,1138,repope,2926,64,32,2958,32,44,414
gemma-4-12b-it,gemma-4-12b-it,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260507,1,,passed,,0.11108389473204527,0.05686658351961225,0.18534254979319664,0.864961139896373,0.8069934566205702,0.9198724387459906,0.12307312424893146,0.0,0.41796200345423146,1182,1158,24,1138,repope,2926,64,32,2958,32,44,414
gemma-4-12b-it,gemma-4-12b-it,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260508,32,,passed,,0.22449672649877192,0.12426496666685614,0.3603353000706489,0.9525402993667242,0.9315213825578023,0.9704621239007737,0.24414556195225626,0.0,0.10449050086355786,1182,1158,24,1138,repope,2926,64,32,2958,32,44,414
qwen3.5-4b,qwen3.5-4b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260506,32,,passed,,0.24355423799585632,0.11028426881960672,0.4126588269584239,0.8839183152520741,0.8323385670152912,0.9285885177722024,0.25556899648402026,0.3333333333333333,0.35162731333758773,1597,1567,30,1548,repope,3852,84,42,3894,42,43,0
qwen3.5-4b,qwen3.5-4b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260507,32,,passed,,0.19333063688559277,0.08333190216753293,0.34274138006739174,0.9064667092108062,0.875198569632108,0.9354435965606461,0.20652438910317206,0.23333333333333334,0.23803446075303128,1597,1567,30,1548,repope,3852,84,42,3894,42,43,0
qwen3.5-4b,qwen3.5-4b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260508,2,,passed,,0.14564599347356072,0.06928209564617038,0.2627686572130956,0.890321208253563,0.842755907899776,0.9306180753827468,0.1563230949834262,0.06666666666666667,0.3899170389278877,1597,1567,30,1548,repope,3852,84,42,3894,42,43,0
qwen3.5-9b,qwen3.5-9b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260506,1,,passed,,0.15720403229916083,0.08813993980783044,0.24353479903482564,0.9521819137749737,0.9269951733642056,0.9712896178622582,0.17256467111819235,0.0,0.10031545741324921,1609,1585,24,1554,repope,3885,114,57,3942,57,31,0
qwen3.5-9b,qwen3.5-9b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260507,32,,passed,,0.10937874706302211,0.03900212858789218,0.27017081610483445,0.7906151419558359,0.7077385302212973,0.8707698134709785,0.12974958946474568,0.08333333333333333,0.4769716088328076,1609,1585,24,1554,repope,3885,114,57,3942,57,31,0
qwen3.5-9b,qwen3.5-9b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260508,32,,passed,,0.2156372775600807,0.12016503641510431,0.36417320820112054,0.9636961093585699,0.9417077473007816,0.9803052601268777,0.24105486354999234,0.25,0.12492113564668769,1609,1585,24,1554,repope,3885,114,57,3942,57,31,0
