model_alias,model_name,dataset_family,encoder_family,objective,readout,support_family,eval_split,metric_split,eval_scope,negative_budget_ratio,negative_budget_seed,selected_k,selected_K,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,training_dataset_family,num_encoder_train_correct,num_encoder_train_hard_hallucination_available,num_encoder_train_hard_hallucination_used,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
qwen3-vl-8b,qwen3-vl-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260507,8,,passed,,0.3881712403459811,0.3142099606684067,0.46558709293923684,0.7160212201591512,0.6685073788142907,0.7600790715308182,0.3936688441293918,0.0,0.64,441,325,116,381,repope,3812,168,84,3896,84,2,0
qwen3-vl-8b,qwen3-vl-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF-selected,single_vmf,test,test,pooled,0.5,20260507,1,1,passed,,0.18612378124219803,0.1535222969444991,0.22214108746732164,0.3168832891246684,0.2692007419985153,0.36935492057141156,0.18802866579637154,0.0,0.9723076923076923,441,325,116,381,repope,3812,168,84,3896,84,2,0
qwen3-vl-8b,qwen3-vl-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,classifier_control,test,test,pooled,0.5,20260508,,,passed,,0.7684439118307914,0.6855799797413994,0.8382512126501809,0.8813793103448276,0.8388771732523514,0.9183340541901517,0.7696520310438097,0.3275862068965517,0.5907692307692308,441,325,116,381,repope,3812,168,84,3896,84,2,0
qwen3-vl-8b,qwen3-vl-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260508,32,,passed,,0.7360424912551073,0.6525183913556863,0.8102533704807191,0.8817506631299735,0.8470453315240521,0.9130641995534419,0.7374085589059423,0.27586206896551724,0.37846153846153846,441,325,116,381,repope,3812,168,84,3896,84,2,0
qwen3-vl-8b,qwen3-vl-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF-selected,single_vmf,test,test,pooled,0.5,20260508,1,1,passed,,0.7498746381168744,0.6667691205720234,0.821490490647227,0.8803978779840849,0.8411731043603786,0.91372298069528,0.7511417257895179,0.28448275862068967,0.40923076923076923,441,325,116,381,repope,3812,168,84,3896,84,2,0
internvl3.5-8b,internvl3.5-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,classifier_control,test,test,pooled,0.5,20260506,,,passed,,0.5270818402262936,0.4566953187645719,0.6125747039045845,0.7289717423581814,0.6805168735114183,0.7735048296552283,0.5241843623166461,0.052980132450331126,0.5160142348754448,432,281,151,361,repope,3689,352,176,3865,176,11,0
internvl3.5-8b,internvl3.5-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260506,32,,passed,,0.27769397503456533,0.23522323735768325,0.329792620993338,0.35914779288727583,0.3090282264478284,0.4141365055468837,0.2805575371613645,0.006622516556291391,0.9359430604982206,432,281,151,361,repope,3689,352,176,3865,176,11,0
internvl3.5-8b,internvl3.5-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF-selected,single_vmf,test,test,pooled,0.5,20260506,1,1,passed,,0.2746658709112199,0.23549403392254403,0.3207701708047133,0.3851429379463128,0.334006813585293,0.441136748427187,0.27719523421027975,0.0,0.9786476868327402,432,281,151,361,repope,3689,352,176,3865,176,11,0
internvl3.5-8b,internvl3.5-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,classifier_control,test,test,pooled,0.5,20260507,,,passed,,0.43111316315667003,0.3655710690360371,0.499061542727127,0.6600009427069831,0.6109602857731631,0.7100562127747387,0.427764395782076,0.0,0.7615658362989324,432,281,151,361,repope,3689,352,176,3865,176,11,0
internvl3.5-8b,internvl3.5-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260507,16,,passed,,0.33060031632916487,0.2804402109038026,0.39092523004335733,0.5091324738988005,0.45329165727161597,0.5629765102742829,0.33511339121834427,0.006622516556291391,0.8718861209964412,432,281,151,361,repope,3689,352,176,3865,176,11,0
internvl3.5-8b,internvl3.5-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF-selected,single_vmf,test,test,pooled,0.5,20260507,1,1,passed,,0.24292639399867555,0.20918995991244538,0.2808818356694146,0.2825292828356626,0.23451760177787864,0.3315140343832544,0.24474948711463895,0.0,0.9537366548042705,432,281,151,361,repope,3689,352,176,3865,176,11,0
internvl3.5-8b,internvl3.5-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,classifier_control,test,test,pooled,0.5,20260508,,,passed,,0.5647015330514321,0.4880935546347681,0.6444042322627449,0.7390587070773726,0.6943229202304544,0.7842624469466221,0.5360605987333755,0.0,0.5409252669039146,432,281,151,361,repope,3689,352,176,3865,176,11,0
internvl3.5-8b,internvl3.5-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260508,32,,passed,,0.30765192765017485,0.2517796430515293,0.36709693550271755,0.36536965897574886,0.3101956759175391,0.4207089915777205,0.30994791187319826,0.033112582781456956,0.9715302491103203,432,281,151,361,repope,3689,352,176,3865,176,11,0
internvl3.5-8b,internvl3.5-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF-selected,single_vmf,test,test,pooled,0.5,20260508,1,1,passed,,0.2875554185091673,0.2402503061352598,0.3395829022794293,0.39395724823831624,0.3415854482972311,0.4467937639375597,0.2903679214728702,0.006622516556291391,0.9501779359430605,432,281,151,361,repope,3689,352,176,3865,176,11,0
minicpm-v-2_6,minicpm-v-2_6,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,classifier_control,test,test,pooled,0.5,20260506,,,passed,,0.43661972736082255,0.352878371654564,0.5277444623453574,0.7561728395061729,0.7097507618435343,0.8009131750132176,0.4413791432044538,0.030303030303030304,0.6080246913580247,423,324,99,394,repope,3776,80,40,3816,40,20,0
minicpm-v-2_6,minicpm-v-2_6,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260506,32,,passed,,0.17955003769782665,0.1458575110389571,0.22239975119913455,0.37891258261628635,0.3208292963898819,0.4401996340517067,0.1826507336413668,0.0,0.9629629629629629,423,324,99,394,repope,3776,80,40,3816,40,20,0
minicpm-v-2_6,minicpm-v-2_6,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF-selected,single_vmf,test,test,pooled,0.5,20260506,1,1,passed,,0.2441257703678379,0.19863177746950425,0.30016967497544655,0.5694600324229955,0.509277272082684,0.6259093831718595,0.2473424306442543,0.0,0.8703703703703703,423,324,99,394,repope,3776,80,40,3816,40,20,0
minicpm-v-2_6,minicpm-v-2_6,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,classifier_control,test,test,pooled,0.5,20260507,,,passed,,0.4427187296349113,0.3569118163798638,0.5475780762869765,0.7756578126948497,0.7301678501337656,0.8181656866749251,0.44839283429986565,0.050505050505050504,0.5493827160493827,423,324,99,394,repope,3776,80,40,3816,40,20,0
minicpm-v-2_6,minicpm-v-2_6,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260507,32,,passed,,0.2051955544542512,0.16266500896547775,0.26308284729213316,0.4346240179573513,0.3686553543651748,0.4970689135146004,0.210224689021814,0.010101010101010102,0.9660493827160493,423,324,99,394,repope,3776,80,40,3816,40,20,0
minicpm-v-2_6,minicpm-v-2_6,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF-selected,single_vmf,test,test,pooled,0.5,20260507,1,1,passed,,0.24881140299196086,0.20241089662392048,0.30373109642264695,0.5820862950492579,0.5209413771897353,0.6368983236097034,0.25227563776507544,0.0,0.9104938271604939,423,324,99,394,repope,3776,80,40,3816,40,20,0
minicpm-v-2_6,minicpm-v-2_6,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,classifier_control,test,test,pooled,0.5,20260508,,,passed,,0.4081637416956755,0.316998003876361,0.5065328403396188,0.6432535228831525,0.5750967024516388,0.7125655428315527,0.41191488554222944,0.050505050505050504,0.9876543209876543,423,324,99,394,repope,3776,80,40,3816,40,20,0
minicpm-v-2_6,minicpm-v-2_6,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260508,8,,passed,,0.38757281616937533,0.30578216442030237,0.4752451021383503,0.6270732011472753,0.5644959520369106,0.6892373480291437,0.3908685789624029,0.06060606060606061,0.845679012345679,423,324,99,394,repope,3776,80,40,3816,40,20,0
minicpm-v-2_6,minicpm-v-2_6,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF-selected,single_vmf,test,test,pooled,0.5,20260508,1,1,passed,,0.380381691856859,0.29324562053915426,0.4776965213083624,0.5861703454296046,0.5165698285752609,0.6561313177433526,0.38363640595078974,0.06060606060606061,0.9691358024691358,423,324,99,394,repope,3776,80,40,3816,40,20,0
gemma-3-12b-it,gemma-3-12b-it,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,classifier_control,test,test,pooled,0.5,20260506,,,passed,,0.8816422440303456,0.834816001451547,0.926647236129274,0.9100739061056521,0.8811832702816309,0.9372205472081321,0.8821247828883592,0.1326530612244898,0.3868312757201646,439,243,196,326,repope,3553,425,212,3765,212,4,0
