model_alias,model_name,dataset_family,encoder_family,objective,readout,support_family,eval_split,metric_split,eval_scope,negative_budget_ratio,negative_budget_seed,selected_k,selected_K,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,training_dataset_family,num_encoder_train_correct,num_encoder_train_hard_hallucination_available,num_encoder_train_hard_hallucination_used,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
qwen3-vl-8b,qwen3-vl-8b,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260507,8,,passed,,0.07320146131402788,0.04767054702217848,0.10892065707509271,0.7337649787398531,0.6665537948920821,0.8044668463744569,0.07752198733031697,0.019230769230769232,0.7474874371859297,1644,1592,52,1609,repope,3812,168,84,3896,84,156,0
qwen3-vl-8b,qwen3-vl-8b,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF-selected,single_vmf,test,test,pooled,0.5,20260507,1,1,passed,,0.0220756959500294,0.016122126943188334,0.02885240099899345,0.3547062234248164,0.29944708444487805,0.4112719887322395,0.022860106416714456,0.0,0.8668341708542714,1644,1592,52,1609,repope,3812,168,84,3896,84,156,0
qwen3-vl-8b,qwen3-vl-8b,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,classifier_control,test,test,pooled,0.5,20260508,,,passed,,0.3070730457071343,0.20597328847491267,0.4272875832812963,0.9049031213761114,0.84539350163652,0.9534887043027253,0.29570793727957595,0.28846153846153844,0.7657035175879398,1644,1592,52,1609,repope,3812,168,84,3896,84,156,0
qwen3-vl-8b,qwen3-vl-8b,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260508,32,,passed,,0.28853814880002554,0.18811392791532586,0.4030806886760908,0.9253478933127174,0.9024767591426633,0.9468971098158778,0.29781691391874504,0.23076923076923078,0.20603015075376885,1644,1592,52,1609,repope,3812,168,84,3896,84,156,0
qwen3-vl-8b,qwen3-vl-8b,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF-selected,single_vmf,test,test,pooled,0.5,20260508,1,1,passed,,0.32303047358785475,0.21888519656561642,0.44120345690678325,0.9349511982991883,0.896419936668948,0.9619670426932444,0.3328909007575065,0.23076923076923078,0.14698492462311558,1644,1592,52,1609,repope,3812,168,84,3896,84,156,0
internvl3.5-8b,internvl3.5-8b,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,classifier_control,test,test,pooled,0.5,20260506,,,passed,,0.5050298222319517,0.42706265487696277,0.583923842761285,0.93380118417528,0.9199532561844462,0.9467715346623297,0.48257125120877337,0.13768115942028986,0.1822817080943276,1707,1569,138,1620,repope,3689,352,176,3865,176,93,0
internvl3.5-8b,internvl3.5-8b,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260506,32,,passed,,0.44247579236251056,0.3576568183472186,0.5251334842915585,0.8874017420862546,0.8581477454580034,0.914694924206477,0.4466612241471827,0.12318840579710146,0.5289993626513703,1707,1569,138,1620,repope,3689,352,176,3865,176,93,0
internvl3.5-8b,internvl3.5-8b,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF-selected,single_vmf,test,test,pooled,0.5,20260506,1,1,passed,,0.476808293328178,0.3947015368453082,0.5605612569731838,0.9093533220642706,0.8857059311464626,0.9311399308859598,0.4812669042374366,0.18840579710144928,0.42447418738049714,1707,1569,138,1620,repope,3689,352,176,3865,176,93,0
internvl3.5-8b,internvl3.5-8b,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,classifier_control,test,test,pooled,0.5,20260507,,,passed,,0.4262343859412766,0.3525607551089478,0.5077967774400293,0.906355936117346,0.8813714257472491,0.9283963819777391,0.40277960303121896,0.10144927536231885,0.3422562141491396,1707,1569,138,1620,repope,3689,352,176,3865,176,93,0
internvl3.5-8b,internvl3.5-8b,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260507,16,,passed,,0.3812555048334291,0.31207913355644556,0.46413344974532805,0.8978856651979937,0.8787003635580275,0.9153863987626859,0.38558724102158093,0.08695652173913043,0.33397068196303376,1707,1569,138,1620,repope,3689,352,176,3865,176,93,0
