subset,total,gt_yes,gt_no,parsed_yes,parsed_no,correct,hard_hallucination,false_negative,parsed_none,invalid_label,primary_pos,primary_neg,train_pos,train_neg,validation_pos,validation_neg,test_pos,test_neg
popular,2727,1193,1534,1212,1515,2562,92,73,0,0,92,2562,61,1530,16,510,15,522
random,2774,1159,1615,1151,1623,2668,49,57,0,0,49,2668,40,1592,6,532,3,544
adversarial,2684,1187,1497,1255,1429,2478,137,69,0,0,137,2478,91,1481,26,489,20,508
