run_id,model_name,dataset_name,subset_scope,seed,quick_run,block,pair_id,row_id,source,signal_builder,yes_no_trace_source,transform,feature_protocol,wavelet,level,threshold,classifier,sequence_model,window_mode,window_strategy,window_size,stride,mode,cwt_scales,feature_kind,feature_shape,feature_seconds,train_shape,validation_shape,test_shape,train_samples,validation_samples,test_samples,status,failure_reason,feature_paths,feature_storage
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,A,A_dwt_sym4_l2,A_dwt_sym4_l2::Teacher,Teacher,teacher_hidden_dim_signal,,dwt,wavelet_summary_static_pooled,sym4,2,universal_soft,logreg,,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",static,7986x60,109.1127817069646,4795x60,1579x60,1612x60,4795,1579,1612,success,,[],memory
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,A,A_dwt_sym4_l2,A_dwt_sym4_l2::Ours,Ours,ours_semantic_trace_signal,final_broadcast,dwt,wavelet_summary_static_pooled,sym4,2,universal_soft,logreg,,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",static,7986x60,56.40109574305825,4795x60,1579x60,1612x60,4795,1579,1612,success,,[],memory
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,A,A_dwt_sym6_l2,A_dwt_sym6_l2::Teacher,Teacher,teacher_hidden_dim_signal,,dwt,wavelet_summary_static_pooled,sym6,2,universal_soft,logreg,,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",static,,0.0452016678173095,,,,,,,failure,DWT level 2 is not feasible for length 36 and wavelet 'sym6'; max level is 1,,
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,A,A_dwt_sym6_l2,A_dwt_sym6_l2::Ours,Ours,ours_semantic_trace_signal,final_broadcast,dwt,wavelet_summary_static_pooled,sym6,2,universal_soft,logreg,,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",static,,0.05002960190176964,,,,,,,failure,DWT level 2 is not feasible for length 36 and wavelet 'sym6'; max level is 1,,
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,A,A_dwt_coif1_l2,A_dwt_coif1_l2::Teacher,Teacher,teacher_hidden_dim_signal,,dwt,wavelet_summary_static_pooled,coif1,2,universal_soft,logreg,,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",static,7986x60,99.15501941600814,4795x60,1579x60,1612x60,4795,1579,1612,success,,[],memory
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,A,A_dwt_coif1_l2,A_dwt_coif1_l2::Ours,Ours,ours_semantic_trace_signal,final_broadcast,dwt,wavelet_summary_static_pooled,coif1,2,universal_soft,logreg,,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",static,7986x60,53.342531526926905,4795x60,1579x60,1612x60,4795,1579,1612,success,,[],memory
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,A,A_dwt_coif2_l2,A_dwt_coif2_l2::Teacher,Teacher,teacher_hidden_dim_signal,,dwt,wavelet_summary_static_pooled,coif2,2,universal_soft,logreg,,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",static,,0.04558708402328193,,,,,,,failure,DWT level 2 is not feasible for length 36 and wavelet 'coif2'; max level is 1,,
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,A,A_dwt_coif2_l2,A_dwt_coif2_l2::Ours,Ours,ours_semantic_trace_signal,final_broadcast,dwt,wavelet_summary_static_pooled,coif2,2,universal_soft,logreg,,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",static,,0.0511470518540591,,,,,,,failure,DWT level 2 is not feasible for length 36 and wavelet 'coif2'; max level is 1,,
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,A,A_dwt_bior2.2_l2,A_dwt_bior2.2_l2::Teacher,Teacher,teacher_hidden_dim_signal,,dwt,wavelet_summary_static_pooled,bior2.2,2,universal_soft,logreg,,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",static,7986x60,99.27054133592173,4795x60,1579x60,1612x60,4795,1579,1612,success,,[],memory
paired_wavelet_v2,qwen3-vl-8b,repope,"popular,random,adversarial",20260506,false,A,A_dwt_bior2.2_l2,A_dwt_bior2.2_l2::Ours,Ours,ours_semantic_trace_signal,final_broadcast,dwt,wavelet_summary_static_pooled,bior2.2,2,universal_soft,logreg,,global,full,,,symmetric,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 12.0, 16.0]",static,7986x60,55.446167442947626,4795x60,1579x60,1612x60,4795,1579,1612,success,,[],memory
