model,benchmark,p_yes,logit_margin,chosen_confidence,drift_only,no_manifold,full_MIND,linear_probe
Qwen3-VL-8B,RePOPE,"ROC 0.6382 [0.6192, 0.6596]; PR 0.0504 [0.0417, 0.0596]","ROC 0.5969 [0.5846, 0.6106]; PR 0.0472 [0.0388, 0.0558]","ROC 0.7924 [0.7518, 0.8348]; PR 0.1555 [0.1149, 0.2048]","ROC 0.8585 [0.8389, 0.8779]; PR 0.1352 [0.1063, 0.1706]","ROC 0.7738 [0.7283, 0.8154]; PR 0.1187 [0.0858, 0.1612]","ROC 0.8843 [0.8639, 0.9026]; PR 0.1804 [0.1371, 0.2264]","ROC 0.8697 [0.8352, 0.9020]; PR 0.3419 [0.2615, 0.4305]"
InternVL3.5-8B,RePOPE,"ROC 0.5591 [0.5459, 0.5739]; PR 0.0998 [0.0889, 0.1110]","ROC 0.5490 [0.5375, 0.5614]; PR 0.0990 [0.0880, 0.1099]","ROC 0.8243 [0.8017, 0.8471]; PR 0.3111 [0.2630, 0.3664]","ROC 0.8804 [0.8631, 0.8960]; PR 0.4392 [0.3786, 0.5082]","ROC 0.8480 [0.8266, 0.8682]; PR 0.4133 [0.3544, 0.4746]","ROC 0.8865 [0.8704, 0.9018]; PR 0.4779 [0.4152, 0.5375]","ROC 0.8918 [0.8680, 0.9126]; PR 0.5545 [0.4949, 0.6110]"
LLaVA-OneVision-7B,RePOPE,"ROC 0.6182 [0.6027, 0.6338]; PR 0.0439 [0.0361, 0.0529]","ROC 0.6108 [0.5968, 0.6246]; PR 0.0434 [0.0356, 0.0522]","ROC 0.8637 [0.8347, 0.8906]; PR 0.1537 [0.1194, 0.1928]","ROC 0.7922 [0.7616, 0.8221]; PR 0.0927 [0.0708, 0.1192]","ROC 0.7213 [0.6709, 0.7709]; PR 0.1054 [0.0780, 0.1573]","ROC 0.7963 [0.7657, 0.8273]; PR 0.0982 [0.0736, 0.1290]","ROC 0.8360 [0.7889, 0.8790]; PR 0.2061 [0.1514, 0.2719]"
Molmo-7B-D-0924,RePOPE,"ROC 0.5578 [0.5269, 0.5864]; PR 0.0574 [0.0481, 0.0691]","ROC 0.5537 [0.5338, 0.5734]; PR 0.0561 [0.0474, 0.0657]","ROC 0.6239 [0.5900, 0.6590]; PR 0.0720 [0.0594, 0.0864]","ROC 0.8217 [0.7933, 0.8473]; PR 0.1665 [0.1349, 0.2052]","ROC 0.7626 [0.7279, 0.7952]; PR 0.1333 [0.1061, 0.1654]","ROC 0.8473 [0.8188, 0.8750]; PR 0.2310 [0.1818, 0.2844]","ROC 0.8711 [0.8363, 0.9018]; PR 0.4441 [0.3648, 0.5168]"
