epoch,train_loss,val_f1,val_loss,val_pr_auc
1.0,0.8952124390786085,0.5657894736842105,0.4103194429498447,0.45301896799092084
2.0,0.5768854827900748,0.5871559633027523,0.5394568325523488,0.49169745471201076
3.0,0.5094674525718371,0.6078431372549019,0.38886640388860666,0.5492973410088915
4.0,0.5947171115651494,0.651685393258427,0.43384783267219884,0.5198821091004787
5.0,0.5010082677581637,0.651685393258427,0.3161188495393189,0.5579481918377068
6.0,0.47545761264650865,0.6304347826086957,0.3009889370527654,0.5575423649036267
7.0,0.6113146724678553,0.6304347826086957,0.36561265986995506,0.5039650967982527
8.0,0.49187540760005477,0.6105263157894737,0.29902384498588946,0.5356343272510546
9.0,0.48200394825095055,0.6046511627906976,0.2844832171700739,0.539413652565115
10.0,0.44581975955535524,0.6046511627906976,0.3050037384637177,0.5496100470970634
11.0,0.4473836789103817,0.6041666666666666,0.27652186970683573,0.5547400007592753
12.0,0.4228197558580027,0.6153846153846154,0.31339746056817014,0.5591361105339469
13.0,0.42311591364917217,0.651685393258427,0.623299085146419,0.5798998448767032
14.0,0.4895152706050773,0.6,0.2736335751978637,0.5500458582324584
15.0,0.47616575392928434,0.6,0.35330583956363915,0.5667658426834611
16.0,0.3972933746167343,0.6153846153846154,0.3143315629973451,0.5695447899624558
17.0,0.4154432824804089,0.6304347826086957,0.3855157959415914,0.5365392248931611
18.0,0.41784977692881514,0.6170212765957447,0.34094461830754,0.5213254799844865
19.0,0.40610667712621323,0.6153846153846154,0.25885918341043856,0.5650894311213179
20.0,0.39835573333520463,0.6304347826086957,0.2892682815254905,0.5442466276428239
21.0,0.43235122207183163,0.6304347826086957,0.30479778865608254,0.5277354978292661
22.0,0.3835107668099985,0.6041666666666666,0.26789753803389976,0.5670004869457623
23.0,0.4248162141930199,0.6105263157894737,0.5147706611651722,0.5437814462146624
24.0,0.436565094620642,0.6304347826086957,0.2959146762362306,0.539405909918182
25.0,0.4031695741185058,0.6218487394957983,0.2533626843944541,0.5685737094300869
26.0,0.38689702149476696,0.6271186440677966,0.2825501386767479,0.5644428837318085
27.0,0.3990671214396066,0.64,0.27120662492389086,0.5588327190404916
28.0,0.3975494824932564,0.6050420168067226,0.3397173160914759,0.5567791844117953
29.0,0.4164018532531229,0.6451612903225806,0.31334068625693534,0.5740810151423107
30.0,0.37548589071218114,0.594059405940594,0.28998065046715993,0.5655588907894453
31.0,0.37071317556130623,0.6170212765957447,0.263641544502698,0.5760055704911706
32.0,0.3933358484935462,0.6206896551724138,0.326600570083042,0.6198370122094475
33.0,0.3346197032176417,0.6326530612244898,0.244027143182673,0.5775751697329116
34.0,0.4054256737154517,0.6370370370370371,0.2572270795334888,0.5979212080087367
35.0,0.3776848932563078,0.6774193548387096,0.2560112458135298,0.6208312148754207
36.0,0.3305625475546864,0.6037735849056604,0.32830557715032127,0.5883600937967445
37.0,0.3661860340672066,0.6601941747572816,0.2290168352958294,0.6249533914321191
38.0,0.34496081811264234,0.639344262295082,0.2835754733001831,0.6355035062016463
39.0,0.3514776653368356,0.6776859504132231,0.24167225351810756,0.6437396639342975
40.0,0.3321333689255809,0.7128712871287128,0.4092891831198699,0.6660745680536806
41.0,0.3167862214653037,0.6942148760330579,0.21355386685162425,0.6481319468483665
42.0,0.46926749926041017,0.6612903225806451,0.3231474319124916,0.6383991762892707
43.0,0.34533797508732994,0.672,0.23830486492426656,0.6348987967949682
44.0,0.31089093708768256,0.7128712871287128,0.3524818723340666,0.6802625348610853
45.0,0.3620676680762278,0.6461538461538462,0.30521869056393935,0.6260705981169294
