epoch,train_loss,val_f1,val_loss,val_pr_auc
1.0,1.352034371463549,0.12090680100755667,1.1790040394337287,0.03713293082919273
2.0,1.2530825700948833,0.12276214833759591,0.8607750436865581,0.05466044594236261
3.0,1.0083255332130336,0.43037974683544306,0.7909217710129591,0.2750529661852031
4.0,0.8025902209366449,0.3333333333333333,0.9197833458595143,0.23662054058950424
5.0,0.7368841034031014,0.35406698564593303,0.4977195602927199,0.15911840092425825
6.0,0.6299492957321023,0.43243243243243246,0.5301598583013669,0.2749399653578081
7.0,0.6680121256238601,0.48175182481751827,0.555832720316234,0.39237392620994826
8.0,0.5645792756326753,0.5299145299145299,0.45782039126238544,0.3611310045598015
9.0,0.5926477556308194,0.5142857142857142,0.42704256412120767,0.3862095957498531
10.0,0.5461549481087606,0.5565217391304348,0.41998859698293783,0.37825604781824934
11.0,0.5099595827467126,0.5565217391304348,0.4104880855346194,0.3954021099264285
12.0,0.6203685510270414,0.5217391304347826,0.38725315380730607,0.37847819620419465
13.0,0.6120762169423267,0.5428571428571428,0.47134540660838825,0.35852126164694087
14.0,0.5165766275463561,0.5,0.41200714931599774,0.40222152920917187
15.0,0.5709478549216412,0.5636363636363636,0.3926259357767667,0.3740388667659808
16.0,0.5037142522267928,0.5555555555555556,0.4085370124028105,0.3718882169893521
17.0,0.5263603047608584,0.5486725663716814,0.3609983718719869,0.37393793685985055
18.0,0.4956658733214278,0.5689655172413793,0.41417617387149513,0.3927789216396762
19.0,0.4839746833842042,0.5223880597014925,0.3499818250036753,0.35501910713806795
20.0,0.6324576719088152,0.5166666666666667,0.39437684569651754,0.36683537002233885
21.0,0.513663002770934,0.5,0.3759972454249821,0.3430795390195373
22.0,0.4876943931962452,0.5666666666666667,0.4253170063047941,0.38698875849215086
23.0,0.5019336427339548,0.5689655172413793,0.35134927510384745,0.3891736424323609
24.0,0.49814019277148003,0.4931506849315068,0.36677025350080855,0.3482797615493597
25.0,0.4952868133379347,0.42045454545454547,0.40421879011252926,0.2524741431197407
26.0,0.4860020992840418,0.5,0.37552134783264957,0.34230938200911926
27.0,0.5015166408327001,0.4539877300613497,0.3985369601266304,0.2884496658506297
28.0,0.5485060567527668,0.5234899328859061,0.3856627934903114,0.40417927607340887
29.0,0.48023594177800993,0.5691056910569106,0.38569099677371554,0.3976827247274248
30.0,0.5002277490617834,0.5636363636363636,0.36252639756465427,0.38565634489143863
31.0,0.48250939749080274,0.5555555555555556,0.37673042833503095,0.3954880819823901
32.0,0.502436621370604,0.5263157894736842,0.34818725311506993,0.38308978672596805
33.0,0.47778767266226263,0.5263157894736842,0.3479999664597605,0.3855304350011302
34.0,0.4825337009521918,0.4134078212290503,0.4260937160540412,0.20647476895863603
35.0,0.5251255028377111,0.5106382978723404,0.3914758339193971,0.37654253798792947
36.0,0.49168421921317346,0.5,0.3506569897282946,0.35171316187435814
37.0,0.4979491073440088,0.44047619047619047,0.39556365775827973,0.30079631739222773
38.0,0.47640360956768796,0.5,0.37259222397213876,0.34652443987795944
39.0,0.47671578412757054,0.47435897435897434,0.36627835832757993,0.27527185810468136
40.0,0.4772913589312212,0.5555555555555556,0.3970000759437161,0.3816190863856184
41.0,0.4800364994312849,0.5666666666666667,0.3692504032983895,0.36635557586607326
42.0,0.47886482101784505,0.5343511450381679,0.348830975389239,0.3692173775167185
43.0,0.4880622639024593,0.4457831325301205,0.3961532607419797,0.23942412142697667
44.0,0.47859369210891106,0.5384615384615384,0.37384335496630977,0.3967180234060386
45.0,0.48831014965075276,0.4625,0.39624363308544774,0.2808531512050046
46.0,0.47812093696455016,0.5555555555555556,0.37621611328423965,0.37716656784758595
47.0,0.46027465247324784,0.5343511450381679,0.3536106693529494,0.3734943471007253
48.0,0.4928068447287065,0.5263157894736842,0.35084798820717866,0.3655132016854236
