epoch,train_loss,val_f1,val_loss,val_pr_auc
1.0,4.307371997767166,0.5637583892617449,0.7628655662197452,0.46926165441492124
2.0,1.3339749213024523,0.4692737430167598,0.8081542686845321,0.28054007391695185
3.0,0.6798265378343425,0.5384615384615384,0.7793358419375981,0.414505802495294
4.0,0.5295564117999718,0.6666666666666666,0.2258121356075515,0.6230877942181405
5.0,0.4843912778389218,0.5058823529411764,0.4209314064465421,0.365316758853254
6.0,0.46404752887637823,0.688,0.2307604670505723,0.617900950781332
7.0,0.63732552110403,0.656,0.332626560855093,0.5221591544762814
8.0,0.4605375853581772,0.6607142857142857,0.25013004054160265,0.5345690662073822
9.0,0.4267665074347704,0.6666666666666666,0.3267476835286338,0.5250143713593975
10.0,0.40532603746161594,0.5390070921985816,0.29667818556204106,0.4144425283942341
11.0,0.3873426283549467,0.6349206349206349,0.2614517838536674,0.5196431872204803
12.0,0.41533667765891835,0.6095238095238096,0.33904158814259916,0.6287480711963505
13.0,0.40339303803518495,0.6346153846153846,0.8166213074086813,0.615854626223423
14.0,0.4056787432980363,0.6666666666666666,0.22781180218098057,0.6937739516927495
15.0,0.42818169672123707,0.6851851851851852,0.3431628084941481,0.5443541582064664
16.0,0.4390555669729354,0.6666666666666666,0.2614194838362,0.6494670110537758
17.0,0.40347199896204833,0.6451612903225806,0.3302650097391891,0.6474999716397442
18.0,0.35133312604971795,0.6464646464646465,0.39350289095044516,0.5982336194059379
19.0,0.3123106843860853,0.6538461538461539,0.31313930481124935,0.6468563668395192
20.0,0.2929060659642264,0.6618705035971223,0.20804526570516724,0.6622866201234691
21.0,0.44865728379911873,0.5942028985507246,0.28571741191400163,0.6599466107293341
22.0,0.26573215659020216,0.6481481481481481,0.3402844750268728,0.6292834925423386
23.0,0.2862159683632279,0.7166666666666667,0.25877639408765374,0.6087280421916956
24.0,0.310944312089924,0.673469387755102,0.2170935379148964,0.7080292045783882
25.0,0.3401504687615306,0.6557377049180327,0.21674875785998335,0.6538425473730849
26.0,0.26971015418346533,0.6666666666666666,0.25040356044205136,0.5656281431417562
27.0,0.2702284719262804,0.7155963302752294,0.22186166375988717,0.6098639310532038
28.0,0.245768133834455,0.7433628318584071,0.20993243828368685,0.5570525062968406
29.0,0.27501581786695684,0.6727272727272727,0.2575232474448335,0.6823574153055003
30.0,0.2764107396381366,0.6972477064220184,0.1808431942542004,0.5620102090010153
31.0,0.2550620188864727,0.628099173553719,0.21998042509459936,0.66406405360601
32.0,0.25031635657310236,0.6785714285714286,0.20896247740860904,0.6305803159175289
33.0,0.21220733035779224,0.6984126984126984,0.2202108950272174,0.5611560148803578
34.0,0.2375491390881693,0.6495726495726496,0.3020771798206478,0.5243919483085138
35.0,0.21411398599493367,0.6290322580645161,0.3907372036180857,0.655049285010628
36.0,0.20589328546531507,0.6825396825396826,0.21850555387760282,0.5306476697363551
37.0,0.2208599108258676,0.7169811320754716,0.22641508171288857,0.6078093032776161
38.0,0.19527661350708186,0.7207207207207207,0.2090044402959152,0.694182911995019
39.0,0.17186785030943014,0.65,0.24334918475456824,0.6150554146195332
40.0,0.16835346790312228,0.6434782608695652,0.3121630338795054,0.5099496009118243
41.0,0.20937629100226635,0.7008547008547008,0.2262482370655132,0.7001698672015565
42.0,0.32771725343837477,0.6495726495726496,0.272834085225304,0.6094095965372209
43.0,0.170140033586648,0.6837606837606838,0.3564705382572502,0.6145811525297836
44.0,0.14384183242948137,0.6605504587155964,0.2203729744196089,0.6856265394335561
