epoch,train_loss,val_f1,val_loss,val_pr_auc
1.0,0.7657454951463327,0.5735294117647058,0.32032507254097414,0.4870952476814509
2.0,0.4488131377570199,0.6451612903225806,0.3310425763193605,0.5406953364849231
3.0,0.4619152299679109,0.6382978723404256,0.2533743800223817,0.5198011852552527
4.0,0.4326092279491882,0.6666666666666666,0.309334606290845,0.5530807967830771
5.0,0.39729124512737063,0.6846846846846847,0.32942148861891113,0.6624314577433479
6.0,0.35413274604349365,0.6981132075471698,0.2313167734037403,0.663715974053894
7.0,0.3967114877899695,0.6666666666666666,0.2838243928379919,0.625223419122501
8.0,0.3228685858848818,0.6857142857142857,0.22448650577198184,0.5970072977653725
9.0,0.318050179910983,0.6868686868686869,0.21435328765505096,0.6343616171382666
10.0,0.3121367007711508,0.6612903225806451,0.26098618725287603,0.5651897470953231
11.0,0.3088460876496666,0.6868686868686869,0.21331462486540312,0.6987991102398604
12.0,0.2756215868018591,0.7058823529411765,0.25870520603135844,0.675456412083038
13.0,0.26590057453597055,0.72,0.4919105952981909,0.7148657052882761
14.0,0.25219054109610156,0.7241379310344828,0.1910036843449368,0.6922170973042286
15.0,0.3095367970382086,0.7378640776699029,0.23266730111675069,0.7186786520789669
16.0,0.24829087363045207,0.7522935779816514,0.21364722312902862,0.708446707735895
17.0,0.2651938645198273,0.7272727272727273,0.3477530658735815,0.6237132389290818
18.0,0.24009242405827477,0.7058823529411765,0.21477354966703285,0.7061644401350733
19.0,0.21417250397680201,0.6923076923076923,0.420582197167739,0.6984885379467404
20.0,0.23249207797836088,0.72,0.19219392300256075,0.7107860362446212
21.0,0.32479776147756884,0.6611570247933884,0.34303342433501227,0.5923417112217696
22.0,0.1996726436926998,0.7017543859649122,0.18580553645977044,0.7003853773245116
23.0,0.18605354307714667,0.6885245901639344,0.2808952948351009,0.7081462894756301
24.0,0.19220272307289032,0.7070707070707071,0.20934471989934056,0.702822892912772
25.0,0.24327441753821527,0.7142857142857143,0.24923793193435934,0.6837183528682765
26.0,0.14213003829525583,0.75,0.43658868803835416,0.7184661149224925
27.0,0.22957064782553843,0.7155963302752294,0.17391871196643094,0.7018725961354644
28.0,0.32215167724676,0.7,0.20891051648386375,0.6123487413484386
29.0,0.1785834834678827,0.7289719626168224,0.1836196569545387,0.6743386441974945
30.0,0.1301366347730222,0.7086614173228346,0.2032269796874419,0.6481741730716737
31.0,0.1414216043382914,0.6923076923076923,0.4926551757469392,0.6516389700447304
32.0,0.1472606833056936,0.7130434782608696,0.3637512198463665,0.6665373879152031
33.0,0.17609531205881687,0.6363636363636364,0.22813864502444758,0.5247980944181915
34.0,0.12980515513262236,0.6949152542372882,0.3180623894122532,0.6954695068244678
35.0,0.31885263043784995,0.5714285714285714,0.25060417225432213,0.5640529570773294
