model_alias,model_name,dataset_family,encoder_family,objective,readout,eval_split,metric_split,eval_scope,selected_k,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
qwen3-vl-8b,qwen3-vl-8b,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,32,passed,,0.21041678516950205,0.12416174311611826,0.3155367318124771,0.8666892153073057,0.8299750799656844,0.9044529755318027,0.21728182814781996,0.09615384615384616,0.3957286432160804,1644,1592,52,1609,4194,173,156,0
qwen3-vl-8b,qwen3-vl-8b,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,,passed,,0.240769021539593,0.1437924714886149,0.356788646123465,0.8581609972941631,0.8061869564933937,0.9104608091119683,0.24839236292070158,0.17307692307692307,0.5307788944723618,1644,1592,52,1609,4194,173,156,0
internvl3.5-8b,internvl3.5-8b,pope,Sphere-Traj-LSTM,bce,Diag-Classifier,test,test,pooled,,passed,,0.45520483731905564,0.37748943503503984,0.5342244417933012,0.9063466991806837,0.872164266949618,0.9359598307685156,0.4598173675052129,0.13043478260869565,0.38368387507966856,1707,1569,138,1620,4326,346,93,0
internvl3.5-8b,internvl3.5-8b,pope,Sphere-Traj-LSTM,bce,Diag-kNN-tuned,test,test,pooled,32,passed,,0.09445212912190525,0.07605187730823856,0.11375889178324126,0.6156556839489752,0.5812458639972987,0.6500181052692695,0.0963572438054412,0.0,0.6016571064372211,1707,1569,138,1620,4326,346,93,0
internvl3.5-8b,internvl3.5-8b,pope,Sphere-Traj-LSTM,bce,Diag-vMF,test,test,pooled,,passed,,0.5396103102472778,0.45287793777391866,0.6224328558751845,0.9305520917043071,0.9034839474061642,0.9517962948749393,0.5438035906587028,0.2246376811594203,0.1561504142766093,1707,1569,138,1620,4326,346,93,0
internvl3.5-8b,internvl3.5-8b,pope,Sphere-Traj-LSTM,supcon,Diag-Classifier,test,test,pooled,,passed,,0.5109290581970028,0.42800959587132253,0.5964520176260723,0.9338773889027443,0.9185959635844457,0.9487215710505142,0.5144524707043379,0.18840579710144928,0.2179732313575526,1707,1569,138,1620,4326,346,93,0
internvl3.5-8b,internvl3.5-8b,pope,Sphere-Traj-LSTM,supcon,Diag-kNN-tuned,test,test,pooled,32,passed,,0.4615779074339743,0.3792679491548754,0.5397492343132972,0.9146322313667896,0.8907830697239146,0.9341597848251209,0.4654022089405282,0.15217391304347827,0.2224346717654557,1707,1569,138,1620,4326,346,93,0
internvl3.5-8b,internvl3.5-8b,pope,Sphere-Traj-LSTM,supcon,Diag-vMF,test,test,pooled,,passed,,0.4935959353592455,0.4084334195701388,0.5791291221859947,0.9048872631880365,0.8741938240303682,0.9342722143513063,0.49746776778400437,0.15942028985507245,0.5251752708731676,1707,1569,138,1620,4326,346,93,0
internvl3.5-8b,internvl3.5-8b,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,,passed,,0.5341487035838353,0.4555360980710481,0.6133515505331743,0.9114824359649365,0.884229953370694,0.9364652250629496,0.4914584949832295,0.0,0.40535372848948376,1707,1569,138,1620,4326,346,93,0
internvl3.5-8b,internvl3.5-8b,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,32,passed,,0.34427918553959547,0.26690939632955074,0.41777360052013524,0.8501907427420771,0.826149604468255,0.8733342813616389,0.3477471988135901,0.15942028985507245,0.372848948374761,1707,1569,138,1620,4326,346,93,0
