model_alias,model_name,dataset_family,encoder_family,objective,readout,eval_split,metric_split,eval_scope,selected_k,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
gemma-4-12b-it,gemma-4-12b-it,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,4,passed,,0.20133586440365506,0.09628403038950285,0.3325860424402694,0.928972366148532,0.8866432197269224,0.9606501106651161,0.2151987065666534,0.041666666666666664,0.2754749568221071,1182,1158,24,1138,2990,64,44,414
qwen3.5-4b,qwen3.5-4b,repope,Sphere-Traj-LSTM,bce,Diag-kNN-tuned,test,test,pooled,1,passed,,0.02099191811493107,0.01398699861104247,0.02982113006447429,0.6017868538608806,0.5523139777486765,0.6495173479910296,0.022696236551811876,0.0,0.5545628589661774,1597,1567,30,1548,3936,84,43,0
qwen3.5-4b,qwen3.5-4b,repope,Sphere-Traj-LSTM,supcon,Diag-kNN-tuned,test,test,pooled,1,passed,,0.023046819700791414,0.014183832945234428,0.03516135339242093,0.5996809189534142,0.5009346262196702,0.6890239538837906,0.025345452679501522,0.0,0.8359923420548819,1597,1567,30,1548,3936,84,43,0
qwen3.5-4b,qwen3.5-4b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,32,passed,,0.2508760559724813,0.12112875166763197,0.40417541418702874,0.9329078919378855,0.9078538938218239,0.9590536508291917,0.26781969153354884,0.23333333333333334,0.18059987236758138,1597,1567,30,1548,3936,84,43,0
qwen3.5-9b,qwen3.5-9b,repope,Sphere-Traj-LSTM,bce,Diag-kNN-tuned,test,test,pooled,32,passed,,0.08357274453842257,0.05074778766586027,0.13084733661552894,0.9246319663512093,0.9088843412506302,0.9404539576388594,0.09284771357753449,0.041666666666666664,0.1110410094637224,1609,1585,24,1554,3999,114,31,0
qwen3.5-9b,qwen3.5-9b,repope,Sphere-Traj-LSTM,supcon,Diag-kNN-tuned,test,test,pooled,16,passed,,0.032579386293229436,0.0186525747051539,0.052515919745605565,0.7596740273396425,0.6839142311898725,0.8294058715719577,0.03605886014673604,0.0,0.5362776025236593,1609,1585,24,1554,3999,114,31,0
qwen3.5-9b,qwen3.5-9b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,32,passed,,0.19916394921831856,0.11381974293886292,0.31495325514187694,0.9587802313354363,0.9362422553101801,0.9782023732513534,0.21743286125199957,0.16666666666666666,0.15205047318611986,1609,1585,24,1554,3999,114,31,0
phi-4-multimodal-instruct,phi-4-multimodal-instruct,repope,Sphere-Traj-LSTM,bce,Diag-kNN-tuned,test,test,pooled,32,passed,,0.15382533587448224,0.10860513500517179,0.22284850964545402,0.8857744319611927,0.8625754036211128,0.9071945085078803,0.16610694337159207,0.10344827586206896,0.1957531519575315,1565,1507,58,1496,3916,197,75,0
phi-4-multimodal-instruct,phi-4-multimodal-instruct,repope,Sphere-Traj-LSTM,supcon,Diag-kNN-tuned,test,test,pooled,8,passed,,0.12214470346988575,0.07643039999981864,0.18738831294581543,0.8040866759719013,0.7567389033328438,0.8512829713696737,0.13665880110106837,0.10344827586206896,0.5527538155275381,1565,1507,58,1496,3916,197,75,0
phi-4-multimodal-instruct,phi-4-multimodal-instruct,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,32,passed,,0.4125942465202326,0.2847124833742676,0.5498246752220983,0.9346612360707504,0.9116304647476395,0.9558280427497905,0.4205265904360588,0.2413793103448276,0.20769741207697412,1565,1507,58,1496,3916,197,75,0
