model_alias,model_name,dataset_family,encoder_family,objective,readout,eval_split,metric_split,eval_scope,selected_k,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
gemma-4-12b-it,gemma-4-12b-it,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,,passed,,0.22512730970061817,0.1277197205034047,0.3612561985043186,0.9526122625215889,0.9267957071892766,0.973196121026075,0.2585863925559888,0.16666666666666666,0.16753022452504318,1182,1158,24,1138,2990,64,44,414
qwen3.5-4b,qwen3.5-4b,repope,Sphere-Traj-LSTM,bce,Diag-Classifier,test,test,pooled,,passed,,0.2637938912327507,0.1456655817942542,0.41018044701436557,0.9626037013401404,0.9487949647601777,0.9753290043290044,0.28240094894255574,0.16666666666666666,0.11678366305041481,1597,1567,30,1548,3936,84,43,0
qwen3.5-4b,qwen3.5-4b,repope,Sphere-Traj-LSTM,supcon,Diag-Classifier,test,test,pooled,,passed,,0.34700087176516353,0.19885276333022978,0.513376974144442,0.9643692831312487,0.947355880331289,0.9800005945972725,0.3584102599849916,0.3,0.14869176770899808,1597,1567,30,1548,3936,84,43,0
qwen3.5-4b,qwen3.5-4b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,,passed,,0.2819867253007748,0.1452586965266235,0.4524686317283283,0.8986173154647947,0.8327011712561762,0.9597783762927096,0.2998241552204964,0.26666666666666666,0.5500957243139758,1597,1567,30,1548,3936,84,43,0
qwen3.5-9b,qwen3.5-9b,repope,Sphere-Traj-LSTM,bce,Diag-Classifier,test,test,pooled,,passed,,0.2847535356089003,0.1501068639131457,0.466964572157714,0.8651945320715038,0.7218774930321764,0.9852020721014911,0.31187756265534194,0.375,0.9854889589905362,1609,1585,24,1554,3999,114,31,0
qwen3.5-9b,qwen3.5-9b,repope,Sphere-Traj-LSTM,supcon,Diag-Classifier,test,test,pooled,,passed,,0.24075548541178063,0.1255387937572189,0.4278640136753414,0.9574132492113565,0.9280181302629318,0.9804991477197528,0.26385198014726363,0.16666666666666666,0.2031545741324921,1609,1585,24,1554,3999,114,31,0
qwen3.5-9b,qwen3.5-9b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,,passed,,0.3095132621096801,0.15511243677573597,0.4751788907823892,0.8614879074658255,0.7315741018885612,0.9597633846159115,0.23006225963810423,0.2916666666666667,0.8094637223974763,1609,1585,24,1554,3999,114,31,0
phi-4-multimodal-instruct,phi-4-multimodal-instruct,repope,Sphere-Traj-LSTM,bce,Diag-Classifier,test,test,pooled,,passed,,0.3631195641808086,0.23694116302902737,0.4952395752097709,0.7810447795345856,0.6826004236372633,0.8748403846501701,0.37042202155705456,0.27586206896551724,0.9907100199071002,1565,1507,58,1496,3916,197,75,0
phi-4-multimodal-instruct,phi-4-multimodal-instruct,repope,Sphere-Traj-LSTM,supcon,Diag-Classifier,test,test,pooled,,passed,,0.36328557499144143,0.2415554960431458,0.49616088352514853,0.8855227329931584,0.8434470385688321,0.9262597688924903,0.3686835085083583,0.25862068965517243,0.48971466489714666,1565,1507,58,1496,3916,197,75,0
phi-4-multimodal-instruct,phi-4-multimodal-instruct,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,,passed,,0.4086195335929595,0.29181289620671047,0.5287668879427806,0.9319440313021989,0.9027144393865402,0.9571424268203794,0.3372208672552441,0.0,0.18579960185799602,1565,1507,58,1496,3916,197,75,0
phi-3.5-vision-instruct,phi-3.5-vision-instruct,repope,Sphere-Traj-LSTM,bce,Diag-Classifier,test,test,pooled,,passed,,0.4546907296043194,0.313286240325278,0.5820258458993562,0.8344405060914063,0.7468340024652975,0.9120892927337956,0.4627352274658182,0.29310344827586204,0.9530292716133424,1527,1469,58,1475,3764,116,113,0
phi-3.5-vision-instruct,phi-3.5-vision-instruct,repope,Sphere-Traj-LSTM,supcon,Diag-Classifier,test,test,pooled,,passed,,0.5101352647000585,0.3800131926967227,0.63522310043852,0.9038050749982396,0.8497602367943534,0.9512327055314683,0.5157711789976143,0.43103448275862066,0.6201497617426821,1527,1469,58,1475,3764,116,113,0
phi-3.5-vision-instruct,phi-3.5-vision-instruct,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,,passed,,0.45699851795386376,0.33083038277473276,0.5816290788154548,0.859299077486444,0.7894274763180782,0.919983900458263,0.43373696407841456,0.3275862068965517,0.7256637168141593,1527,1469,58,1475,3764,116,113,0
gemma-3-4b-it,gemma-3-4b-it,repope,Sphere-Traj-LSTM,bce,Diag-Classifier,test,test,pooled,,passed,,0.6154202313145277,0.5341968677876847,0.7006440653929003,0.9247442073870155,0.8941119039466046,0.9539128551628552,0.6191919760398624,0.22,0.12181693048864418,1603,1453,150,1438,3914,407,37,0
gemma-3-4b-it,gemma-3-4b-it,repope,Sphere-Traj-LSTM,supcon,Diag-Classifier,test,test,pooled,,passed,,0.6332732133537445,0.5562386886457232,0.7093471696212249,0.9435375086028905,0.9295000044048595,0.9572483507791475,0.6354144858661904,0.26666666666666666,0.21472814865794906,1603,1453,150,1438,3914,407,37,0
gemma-3-4b-it,gemma-3-4b-it,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,,passed,,0.6135969587016996,0.5370403417331006,0.692498530341342,0.942415691672402,0.9286369283171972,0.9553775253233161,0.5992956509286281,0.23333333333333334,0.17894012388162422,1603,1453,150,1438,3914,407,37,0
molmo-7b-d-0924,molmo-7b-d-0924,repope,Sphere-Traj-LSTM,bce,Diag-Classifier,test,test,pooled,,passed,,0.5012855509920386,0.3776823092023874,0.6338235717485668,0.9205140798952194,0.8753036537195523,0.9561133707575458,0.5086789699783192,0.3333333333333333,0.21480026195153898,1599,1527,72,1513,3988,202,41,0
molmo-7b-d-0924,molmo-7b-d-0924,repope,Sphere-Traj-LSTM,supcon,Diag-Classifier,test,test,pooled,,passed,,0.389699331287,0.29031682259548663,0.5147429988495706,0.9193134686749618,0.8899467943805429,0.946563924879466,0.4003542112170648,0.2777777777777778,0.4309102815979044,1599,1527,72,1513,3988,202,41,0
molmo-7b-d-0924,molmo-7b-d-0924,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,,passed,,0.358591991978136,0.25825649870515527,0.46597543262588764,0.8733537073419195,0.8244286094020127,0.9157518055755688,0.34507912879564845,0.16666666666666666,0.5566470203012442,1599,1527,72,1513,3988,202,41,0
minicpm-v-4_5,minicpm-v-4_5,repope,Sphere-Traj-LSTM,bce,Diag-Classifier,test,test,pooled,,passed,,0.40970110689343275,0.2541734108083012,0.5744016822425052,0.9711618835330176,0.96140810854894,0.9809751875086251,0.4266592369878416,0.32432432432432434,0.059278350515463915,1589,1552,37,1530,3939,104,51,0
minicpm-v-4_5,minicpm-v-4_5,repope,Sphere-Traj-LSTM,supcon,Diag-Classifier,test,test,pooled,,passed,,0.3970234815258134,0.24311611692467464,0.5505532448442998,0.9647708275285595,0.9532408476615606,0.9763191038590044,0.40808090936237496,0.2702702702702703,0.09407216494845361,1589,1552,37,1530,3939,104,51,0
minicpm-v-4_5,minicpm-v-4_5,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,,passed,,0.3894128553479125,0.24781465159990912,0.5445239076009665,0.7494775703538591,0.6321358258952059,0.8626757162740623,0.3088156838461701,0.3783783783783784,0.9085051546391752,1589,1552,37,1530,3939,104,51,0
llava-v1.5-7b,llava-v1.5-7b,repope,Sphere-Traj-LSTM,bce,Diag-Classifier,test,test,pooled,,passed,,0.6003437346316982,0.5180174172354052,0.6772852739248747,0.9346927775781531,0.9164231441118781,0.9501032336602818,0.6024053360597417,0.2975206611570248,0.18410326086956522,1593,1472,121,1461,3935,302,47,0
llava-v1.5-7b,llava-v1.5-7b,repope,Sphere-Traj-LSTM,supcon,Diag-Classifier,test,test,pooled,,passed,,0.5377281282150219,0.4511898964131726,0.624888609807372,0.93812320337765,0.9233236166336671,0.9518108336830585,0.5412326084194045,0.14049586776859505,0.20652173913043478,1593,1472,121,1461,3935,302,47,0
llava-v1.5-7b,llava-v1.5-7b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,,passed,,0.5500691951527157,0.4508763647958222,0.6432307258315817,0.9443889238232124,0.9292087244924054,0.9569223258280417,0.5555860759408989,0.2231404958677686,0.1922554347826087,1593,1472,121,1461,3935,302,47,0
qwen2.5-vl-7b,qwen2.5-vl-7b,repope,Sphere-Traj-LSTM,bce,Diag-Classifier,test,test,pooled,,passed,,0.13165559219364875,0.06540311017276576,0.2595338813679921,0.9323186528497409,0.9057652018738303,0.9564061070607597,0.1594872886242082,0.2727272727272727,0.16904145077720206,1566,1544,22,1531,3895,101,74,0
qwen2.5-vl-7b,qwen2.5-vl-7b,repope,Sphere-Traj-LSTM,supcon,Diag-Classifier,test,test,pooled,,passed,,0.08851478241933354,0.038651222025505624,0.17055704184098405,0.8705252001884126,0.807734052020085,0.9243723989271455,0.10461776244636643,0.13636363636363635,0.37370466321243523,1566,1544,22,1531,3895,101,74,0
qwen2.5-vl-7b,qwen2.5-vl-7b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,,passed,,0.19084089945943505,0.0781145566341099,0.33417138418342673,0.9155528732925106,0.8624881123652673,0.9589540442527469,0.15140277911501343,0.13636363636363635,0.35038860103626945,1566,1544,22,1531,3895,101,74,0
