epoch,loss,model_alias,objective
17.0,8.77904822431018,qwen3-vl-8b,proxy_anchor
18.0,10.180183954095122,qwen3-vl-8b,proxy_anchor
19.0,9.17788908972812,qwen3-vl-8b,proxy_anchor
20.0,12.24797812131182,qwen3-vl-8b,proxy_anchor
1.0,0.7976015190534207,internvl3.5-8b,bce
2.0,0.5180302877896377,internvl3.5-8b,bce
3.0,0.5102970793352832,internvl3.5-8b,bce
4.0,0.4626516001010938,internvl3.5-8b,bce
5.0,0.45104098700556655,internvl3.5-8b,bce
6.0,0.4376819705910035,internvl3.5-8b,bce
7.0,0.3957552665149006,internvl3.5-8b,bce
8.0,0.39669922649845635,internvl3.5-8b,bce
9.0,0.36254651341158634,internvl3.5-8b,bce
10.0,0.393576938256094,internvl3.5-8b,bce
11.0,0.34958819380876777,internvl3.5-8b,bce
12.0,0.29719887629973657,internvl3.5-8b,bce
13.0,0.3203638153327216,internvl3.5-8b,bce
14.0,0.2886909135045524,internvl3.5-8b,bce
15.0,0.23420666111736893,internvl3.5-8b,bce
16.0,0.28349248792785314,internvl3.5-8b,bce
17.0,0.24903159783459394,internvl3.5-8b,bce
18.0,0.2930929821793085,internvl3.5-8b,bce
19.0,0.2576393669812699,internvl3.5-8b,bce
20.0,0.2396652121645364,internvl3.5-8b,bce
1.0,5.505514147965456,internvl3.5-8b,supcon
2.0,5.490917983547174,internvl3.5-8b,supcon
3.0,5.470874739767035,internvl3.5-8b,supcon
4.0,5.481638355557206,internvl3.5-8b,supcon
5.0,5.456557457354422,internvl3.5-8b,supcon
6.0,5.446988032024056,internvl3.5-8b,supcon
7.0,5.445794302589437,internvl3.5-8b,supcon
8.0,5.4343304230534955,internvl3.5-8b,supcon
9.0,5.427513425110059,internvl3.5-8b,supcon
10.0,5.417007136657609,internvl3.5-8b,supcon
11.0,5.404527742890432,internvl3.5-8b,supcon
12.0,5.40043249168009,internvl3.5-8b,supcon
13.0,5.382796162810841,internvl3.5-8b,supcon
14.0,5.3701726094061595,internvl3.5-8b,supcon
15.0,5.3632036751669485,internvl3.5-8b,supcon
16.0,5.356757246837319,internvl3.5-8b,supcon
17.0,5.406750906165712,internvl3.5-8b,supcon
18.0,5.383137179966818,internvl3.5-8b,supcon
19.0,5.356733745762807,internvl3.5-8b,supcon
20.0,5.340581833151005,internvl3.5-8b,supcon
1.0,13.679083166898875,internvl3.5-8b,proxy_anchor
2.0,13.101260304421489,internvl3.5-8b,proxy_anchor
3.0,12.820173697789038,internvl3.5-8b,proxy_anchor
4.0,12.10554849425922,internvl3.5-8b,proxy_anchor
5.0,12.324645181423188,internvl3.5-8b,proxy_anchor
6.0,11.540464470628995,internvl3.5-8b,proxy_anchor
7.0,11.996369472325247,internvl3.5-8b,proxy_anchor
8.0,11.394622365663146,internvl3.5-8b,proxy_anchor
9.0,11.720818563724206,internvl3.5-8b,proxy_anchor
10.0,11.108249074307682,internvl3.5-8b,proxy_anchor
11.0,11.130996685693596,internvl3.5-8b,proxy_anchor
12.0,9.935119926265726,internvl3.5-8b,proxy_anchor
13.0,10.82479436100783,internvl3.5-8b,proxy_anchor
14.0,9.867645426983586,internvl3.5-8b,proxy_anchor
15.0,10.501228099823942,internvl3.5-8b,proxy_anchor
16.0,10.138990655685232,internvl3.5-8b,proxy_anchor
17.0,8.340335748243438,internvl3.5-8b,proxy_anchor
18.0,13.007389651286488,internvl3.5-8b,proxy_anchor
19.0,9.765880982848094,internvl3.5-8b,proxy_anchor
20.0,8.270847985721467,internvl3.5-8b,proxy_anchor
1.0,0.9301629338521681,minicpm-v-2_6,bce
2.0,0.7074592294040063,minicpm-v-2_6,bce
