model_alias,objective,selected_k,selected_on,selection_metric,selection_pr_auc,selection_roc_auc,num_bank_correct,metric_status,dataset_family,split,metric_split,readout,k,bank_size,pr_auc,roc_auc
qwen3-vl-8b,proxy_anchor,,,,,,1542,passed,repope,cal,cal,Diag-kNN-tuned,32,1542,0.8357620723931866,0.9877564102564103
internvl3.5-8b,bce,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,1,1496,0.11712975559062591,0.7145393179626545
internvl3.5-8b,bce,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,2,1496,0.11954813249017472,0.720106075216972
internvl3.5-8b,bce,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,4,1496,0.11782019736179264,0.7162707109669502
internvl3.5-8b,bce,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,8,1496,0.11439657374568718,0.7108135355483475
internvl3.5-8b,bce,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,16,1496,0.11196418229475047,0.7108573682826335
internvl3.5-8b,bce,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,32,1496,0.123986312795918,0.7455509774699745
internvl3.5-8b,supcon,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,1,1496,0.7190914462434037,0.9653940562812309
internvl3.5-8b,supcon,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,2,1496,0.7565786080074701,0.9741386867712808
internvl3.5-8b,supcon,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,4,1496,0.7502434494854392,0.9738318576312791
internvl3.5-8b,supcon,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,8,1496,0.7580981924635135,0.9754975015341457
internvl3.5-8b,supcon,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,16,1496,0.7414952590621666,0.9730647847812746
internvl3.5-8b,supcon,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,32,1496,0.7713495912096074,0.9741606031384238
internvl3.5-8b,proxy_anchor,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,1,1496,0.34833988769758784,0.8378627158762163
internvl3.5-8b,proxy_anchor,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,2,1496,0.3526459010290565,0.845906022617691
internvl3.5-8b,proxy_anchor,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,4,1496,0.41559971282684693,0.8610063995792059
internvl3.5-8b,proxy_anchor,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,8,1496,0.5598533420212327,0.9125098623652144
internvl3.5-8b,proxy_anchor,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,16,1496,0.6905581968821359,0.9449241693696853
internvl3.5-8b,proxy_anchor,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,32,1496,0.7812891885953654,0.9699307442798281
minicpm-v-2_6,bce,,,,,,1529,passed,repope,cal,cal,Diag-kNN-tuned,1,1529,0.02359655495853069,0.7070379965457686
minicpm-v-2_6,bce,,,,,,1529,passed,repope,cal,cal,Diag-kNN-tuned,2,1529,0.022809110133592356,0.6966753022452505
minicpm-v-2_6,bce,,,,,,1529,passed,repope,cal,cal,Diag-kNN-tuned,4,1529,0.020671065645174718,0.6645077720207253
