model,benchmark,protocol,bank_scope,variant,report_path,random_state,accuracy,precision,recall,f1,roc_auc,pr_auc,tpr_at_fpr_0.01,false_positive_rate
InternVL3.5-8B,POPE adversarial,image_grouped,object,linear_probe,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,19,0.8723333333333333,0.4567099567099567,0.6151603498542274,0.5242236024844721,0.8605213578522435,0.5029840837231563,0.1661807580174927,0.0944674444862627
InternVL3.5-8B,POPE adversarial,image_grouped,object,linear_probe,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,23,0.8736666666666667,0.4589041095890411,0.5860058309037901,0.5147247119078106,0.8570627562816083,0.5010147833355406,0.1632653061224489,0.089198343996989
InternVL3.5-8B,POPE adversarial,image_grouped,object,linear_probe,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,29,0.868,0.4427645788336933,0.597667638483965,0.5086848635235732,0.8540353826352305,0.4693556259188618,0.1049562682215743,0.0971019947308995
InternVL3.5-8B,POPE adversarial,image_grouped,object,output_p_yes,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,13,0.8856666666666667,0.0,0.0,0.0,0.554777467737458,0.1146241913166776,0.0,0.0
InternVL3.5-8B,POPE adversarial,image_grouped,object,output_p_yes,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,17,0.8856666666666667,0.0,0.0,0.0,0.5540422954492835,0.1145797532493362,0.0,0.0
InternVL3.5-8B,POPE adversarial,image_grouped,object,output_p_yes,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,19,0.8856666666666667,0.0,0.0,0.0,0.5579332222162481,0.1152538826490219,0.0,0.0
InternVL3.5-8B,POPE adversarial,image_grouped,object,output_p_yes,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,23,0.8856666666666667,0.0,0.0,0.0,0.5580967157549616,0.1151189310255831,0.0,0.0
InternVL3.5-8B,POPE adversarial,image_grouped,object,output_p_yes,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,29,0.8856666666666667,0.0,0.0,0.0,0.5549497394527465,0.114691360483894,0.0,0.0
InternVL3.5-8B,POPE adversarial,image_grouped,object,output_logit_margin,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,13,0.8856666666666667,0.0,0.0,0.0,0.5271448651507488,0.1094485737356413,0.0,0.0
InternVL3.5-8B,POPE adversarial,image_grouped,object,output_logit_margin,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,17,0.8856666666666667,0.0,0.0,0.0,0.5243512104556861,0.1085833626404614,0.0,0.0
InternVL3.5-8B,POPE adversarial,image_grouped,object,output_logit_margin,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,19,0.8856666666666667,0.0,0.0,0.0,0.5064316602494539,0.1033012384600611,0.0,0.0
InternVL3.5-8B,POPE adversarial,image_grouped,object,output_logit_margin,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,23,0.8856666666666667,0.0,0.0,0.0,0.5055724962171546,0.103468550190638,0.0,0.0
InternVL3.5-8B,POPE adversarial,image_grouped,object,output_logit_margin,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,29,0.8856666666666667,0.0,0.0,0.0,0.5162061598659573,0.1067966874765141,0.0,0.0
InternVL3.5-8B,POPE adversarial,image_grouped,object,output_chosen_answer_confidence,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,13,0.878,0.2653061224489796,0.0379008746355685,0.0663265306122449,0.7817141803761668,0.2732624294753841,0.0174927113702623,0.0135491155438464
InternVL3.5-8B,POPE adversarial,image_grouped,object,output_chosen_answer_confidence,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,17,0.8793333333333333,0.2682926829268293,0.032069970845481,0.0572916666666666,0.7850926810855532,0.2764008962215163,0.0262390670553935,0.011290929619872
InternVL3.5-8B,POPE adversarial,image_grouped,object,output_chosen_answer_confidence,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,19,0.8766666666666667,0.2545454545454545,0.0408163265306122,0.0703517587939698,0.774183602146703,0.2703471553911033,0.0233236151603498,0.0154309371471584
