model,benchmark,benchmark_key,method,status,split_strategy,feature_source,metrics_path,predictions_path,n_rows,roc_auc,roc_auc_ci_lower,roc_auc_ci_upper,pr_auc,pr_auc_ci_lower,pr_auc_ci_upper
internvl3.5-8b,POPE popular,popular,no_manifold,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/internvl3.5-8b/popular/object_conditioned/no_manifold.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/internvl3.5-8b/popular/object_conditioned/no_manifold.json,outputs/gpu_round_2026_04/bank_identity/predictions/internvl3.5-8b/popular/object_conditioned/no_manifold.parquet,3000,0.8309410810470581,0.80854332447052,0.8536370992660522,0.3408144414424896,0.2863563597202301,0.4014819264411926
internvl3.5-8b,POPE popular,popular,linear_probe,ok,image_grouped,outputs/gpu_round_2026_04/query_local_bank/features/internvl3.5-8b/popular/linear_probe.parquet,outputs/gpu_round_2026_04/query_local_bank/metrics/internvl3.5-8b/popular/linear_probe.json,outputs/gpu_round_2026_04/query_local_bank/predictions/internvl3.5-8b/popular/linear_probe.parquet,3000,0.9551669955253601,0.9439669251441956,0.9661799073219299,0.678459882736206,0.6141696572303772,0.7394958734512329
internvl3.5-8b,DASH-B,dash-b,object_cond,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/internvl3.5-8b/dash-b/object_conditioned/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/internvl3.5-8b/dash-b/object_conditioned/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/internvl3.5-8b/dash-b/object_conditioned/full_curve.parquet,2682,0.8585729002952576,0.841899573802948,0.8735032677650452,0.7126434445381165,0.6753711104393005,0.7466356158256531
internvl3.5-8b,DASH-B,dash-b,shared,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/internvl3.5-8b/dash-b/shared/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/internvl3.5-8b/dash-b/shared/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/internvl3.5-8b/dash-b/shared/full_curve.parquet,2682,0.7951733469963074,0.7762715816497803,0.8128603100776672,0.6169198751449585,0.5719345211982727,0.6568256616592407
internvl3.5-8b,DASH-B,dash-b,shuffled,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/internvl3.5-8b/dash-b/shuffled_object/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/internvl3.5-8b/dash-b/shuffled_object/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/internvl3.5-8b/dash-b/shuffled_object/full_curve.parquet,2682,0.8167436122894287,0.7986502647399902,0.8338220119476318,0.660178005695343,0.6193296313285828,0.6992584466934204
internvl3.5-8b,DASH-B,dash-b,query_local_k30,ok,image_grouped,outputs/gpu_round_2026_04/query_local_bank/features/internvl3.5-8b/dash-b/query_local_k30.parquet,outputs/gpu_round_2026_04/query_local_bank/metrics/internvl3.5-8b/dash-b/query_local_k30.json,outputs/gpu_round_2026_04/query_local_bank/predictions/internvl3.5-8b/dash-b/query_local_k30.parquet,2682,0.9652535915374756,0.9577019214630127,0.9720094799995422,0.9048711061477661,0.8837350606918335,0.9240933656692505
internvl3.5-8b,DASH-B,dash-b,no_manifold,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/internvl3.5-8b/dash-b/object_conditioned/no_manifold.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/internvl3.5-8b/dash-b/object_conditioned/no_manifold.json,outputs/gpu_round_2026_04/bank_identity/predictions/internvl3.5-8b/dash-b/object_conditioned/no_manifold.parquet,2682,0.8737946152687073,0.8565211296081543,0.8879019021987915,0.7030575275421143,0.6634712219238281,0.7358694076538086
internvl3.5-8b,DASH-B,dash-b,linear_probe,ok,image_grouped,outputs/gpu_round_2026_04/query_local_bank/features/internvl3.5-8b/dash-b/linear_probe.parquet,outputs/gpu_round_2026_04/query_local_bank/metrics/internvl3.5-8b/dash-b/linear_probe.json,outputs/gpu_round_2026_04/query_local_bank/predictions/internvl3.5-8b/dash-b/linear_probe.parquet,2682,0.9920048713684082,0.9894507527351379,0.994100034236908,0.982230544090271,0.976688027381897,0.9868867993354797
llava-onevision-7b,POPE popular,popular,object_cond,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/llava-onevision-7b/popular/object_conditioned/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/llava-onevision-7b/popular/object_conditioned/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/llava-onevision-7b/popular/object_conditioned/full_curve.parquet,3000,0.8084059357643127,0.7752470970153809,0.8409428596496582,0.0916357710957527,0.0668201744556427,0.1279803812503814
llava-onevision-7b,POPE popular,popular,shared,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/llava-onevision-7b/popular/shared/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/llava-onevision-7b/popular/shared/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/llava-onevision-7b/popular/shared/full_curve.parquet,3000,0.8500766158103943,0.8227434158325195,0.8768969178199768,0.1060779765248298,0.0805374607443809,0.1400026828050613
