model,benchmark,benchmark_key,bank_type,variant,status,split_strategy,feature_source,metrics_path,predictions_path,n_rows,roc_auc,roc_auc_ci_lower,roc_auc_ci_upper,pr_auc,pr_auc_ci_lower,pr_auc_ci_upper
llava-onevision-7b,POPE popular,popular,shuffled_object,no_manifold,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/llava-onevision-7b/popular/shuffled_object/no_manifold.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/llava-onevision-7b/popular/shuffled_object/no_manifold.json,outputs/gpu_round_2026_04/bank_identity/predictions/llava-onevision-7b/popular/shuffled_object/no_manifold.parquet,3000,0.7246052622795105,0.667374312877655,0.7800986170768738,0.10407767444849014,0.06700162589550018,0.1679530292749405
llava-onevision-7b,POPE popular,popular,shuffled_object,full_curve,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/llava-onevision-7b/popular/shuffled_object/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/llava-onevision-7b/popular/shuffled_object/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/llava-onevision-7b/popular/shuffled_object/full_curve.parquet,3000,0.8646783232688904,0.833163857460022,0.8939303755760193,0.20789247751235962,0.13640227913856506,0.2930958867073059
llava-onevision-7b,DASH-B,dash-b,object_conditioned,drift_only,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/llava-onevision-7b/dash-b/object_conditioned/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/llava-onevision-7b/dash-b/object_conditioned/drift_only.json,outputs/gpu_round_2026_04/bank_identity/predictions/llava-onevision-7b/dash-b/object_conditioned/drift_only.parquet,2682,0.8677155375480652,0.8513020277023315,0.8844353556632996,0.745723307132721,0.7115216255187988,0.7784105539321899
llava-onevision-7b,DASH-B,dash-b,object_conditioned,no_manifold,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/llava-onevision-7b/dash-b/object_conditioned/no_manifold.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/llava-onevision-7b/dash-b/object_conditioned/no_manifold.json,outputs/gpu_round_2026_04/bank_identity/predictions/llava-onevision-7b/dash-b/object_conditioned/no_manifold.parquet,2682,0.8939646482467651,0.876288890838623,0.9093724489212036,0.7789971828460693,0.7492773532867432,0.8119331002235413
llava-onevision-7b,DASH-B,dash-b,object_conditioned,full_curve,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/llava-onevision-7b/dash-b/object_conditioned/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/llava-onevision-7b/dash-b/object_conditioned/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/llava-onevision-7b/dash-b/object_conditioned/full_curve.parquet,2682,0.8423005938529968,0.8238755464553833,0.8600859642028809,0.7260435819625854,0.6920704245567322,0.7569461464881897
llava-onevision-7b,DASH-B,dash-b,shared,drift_only,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/llava-onevision-7b/dash-b/shared/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/llava-onevision-7b/dash-b/shared/drift_only.json,outputs/gpu_round_2026_04/bank_identity/predictions/llava-onevision-7b/dash-b/shared/drift_only.parquet,2682,0.8011447787284851,0.7810123562812805,0.8216474056243896,0.6712765693664551,0.6365060806274414,0.7066423892974854
llava-onevision-7b,DASH-B,dash-b,shared,no_manifold,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/llava-onevision-7b/dash-b/shared/no_manifold.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/llava-onevision-7b/dash-b/shared/no_manifold.json,outputs/gpu_round_2026_04/bank_identity/predictions/llava-onevision-7b/dash-b/shared/no_manifold.parquet,2682,0.9443197846412659,0.9327437281608582,0.9535517692565918,0.903656542301178,0.8871499300003052,0.9177581667900085
llava-onevision-7b,DASH-B,dash-b,shared,full_curve,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/llava-onevision-7b/dash-b/shared/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/llava-onevision-7b/dash-b/shared/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/llava-onevision-7b/dash-b/shared/full_curve.parquet,2682,0.8024205565452576,0.7825035452842712,0.8235881328582764,0.6807876229286194,0.6470938324928284,0.7144762873649597
llava-onevision-7b,DASH-B,dash-b,shuffled_object,drift_only,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/llava-onevision-7b/dash-b/shuffled_object/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/llava-onevision-7b/dash-b/shuffled_object/drift_only.json,outputs/gpu_round_2026_04/bank_identity/predictions/llava-onevision-7b/dash-b/shuffled_object/drift_only.parquet,2682,0.7248679995536804,0.7061685919761658,0.7470000982284546,0.5423795580863953,0.49930956959724426,0.5899794101715088
llava-onevision-7b,DASH-B,dash-b,shuffled_object,no_manifold,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/llava-onevision-7b/dash-b/shuffled_object/no_manifold.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/llava-onevision-7b/dash-b/shuffled_object/no_manifold.json,outputs/gpu_round_2026_04/bank_identity/predictions/llava-onevision-7b/dash-b/shuffled_object/no_manifold.parquet,2682,0.742180585861206,0.7225481867790222,0.76180100440979,0.6214998960494995,0.5807652473449707,0.6635991930961609
llava-onevision-7b,DASH-B,dash-b,shuffled_object,full_curve,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/llava-onevision-7b/dash-b/shuffled_object/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/llava-onevision-7b/dash-b/shuffled_object/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/llava-onevision-7b/dash-b/shuffled_object/full_curve.parquet,2682,0.6959777474403381,0.6765087842941284,0.7165869474411011,0.5332129597663879,0.4873623251914978,0.5832613706588745
molmo-7b-d-0924,POPE popular,popular,object_conditioned,drift_only,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/molmo-7b-d-0924/popular/object_conditioned/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/molmo-7b-d-0924/popular/object_conditioned/drift_only.json,outputs/gpu_round_2026_04/bank_identity/predictions/molmo-7b-d-0924/popular/object_conditioned/drift_only.parquet,3000,0.8526691198348999,0.8236486315727234,0.8814330697059631,0.23395809531211853,0.18700547516345978,0.2860502302646637
