model_alias,model_name,dataset_family,encoder_family,objective,method,readout,support_family,method_role,eval_split,metric_split,eval_scope,negative_budget_ratio,negative_budget_seed,selected_k,selected_K,selected_rho,selected_C,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,training_dataset_family,num_encoder_train_correct,num_encoder_train_hard_hallucination_available,num_encoder_train_hard_hallucination_used,num_encoder_train,num_encoder_train_hard_hallucination,num_excluded_false_negative,num_excluded_parsed_none
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,single_vmf,StageC-single_vmf,single_vmf,support_estimator,test,test,pooled,0.5,20260507,,,,,passed,,0.04087426269649359,0.01730444406743432,0.10996318016064315,0.47421922022336654,0.3825411853736258,0.5623662815503732,0.06183082219682605,0.07894736842105263,0.8310038119440915,1612,1574,38,1542,repope,3812,168,84,3896,84,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,mixture_vmf,StageC-mixture_vmf,mixture_vmf,support_estimator,test,test,pooled,0.5,20260507,,2,,,passed,,0.04087426269649359,0.01730444406743432,0.10996318016064315,0.47421922022336654,0.3825411853736258,0.5623662815503732,0.06183082219682605,0.07894736842105263,0.8310038119440915,1612,1574,38,1542,repope,3812,168,84,3896,84,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,knn,StageC-knn,knn,support_estimator,test,test,pooled,0.5,20260507,4,,,,passed,,0.15561950674794436,0.08989343035732861,0.24630453744145053,0.8784274058717315,0.8234469244861494,0.9238295261865066,0.17318456628178408,0.15789473684210525,0.35514612452350697,1612,1574,38,1542,repope,3812,168,84,3896,84,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,radius_ball,StageC-radius_ball,radius_ball,support_estimator,test,test,pooled,0.5,20260507,,,0.0046911122675140976,,passed,,0.4545303743044246,0.3844034624199058,0.5099808033120284,0.7938373570520966,0.744730152248167,0.8343540930423833,0.0596866353177319,0.0,0.571156289707751,1612,1574,38,1542,repope,3812,168,84,3896,84,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,logistic,StageC-logistic,supervised_comparator,supervised_comparator,test,test,pooled,0.5,20260507,,,,10.0,passed,,0.4256312600240954,0.2731834297647521,0.5580877396279947,0.9634688691232529,0.9489701330908501,0.9752943322525628,0.43348026326585537,0.2631578947368421,0.1289707750952986,1612,1574,38,1542,repope,3812,168,84,3896,84,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,single_vmf,StageC-single_vmf,single_vmf,support_estimator,test,test,pooled,0.5,20260508,,,,,passed,,0.5983253469338009,0.436718270998133,0.7455741585337241,0.9657259412826857,0.9234961861215998,0.98899690069694,0.6074126586257586,0.6578947368421053,0.09783989834815757,1612,1574,38,1542,repope,3812,168,84,3896,84,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,mixture_vmf,StageC-mixture_vmf,mixture_vmf,support_estimator,test,test,pooled,0.5,20260508,,2,,,passed,,0.5983253469338009,0.436718270998133,0.7455741585337241,0.9657259412826857,0.9234961861215998,0.98899690069694,0.6074126586257586,0.6578947368421053,0.09783989834815757,1612,1574,38,1542,repope,3812,168,84,3896,84,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,knn,StageC-knn,knn,support_estimator,test,test,pooled,0.5,20260508,32,,,,passed,,0.6001812816076201,0.4323142135678437,0.7443812754605795,0.9733498294656591,0.952165048748507,0.9876069437158689,0.6088092861183394,0.6578947368421053,0.11944091486658195,1612,1574,38,1542,repope,3812,168,84,3896,84,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,radius_ball,StageC-radius_ball,radius_ball,support_estimator,test,test,pooled,0.5,20260508,,,0.015686477413006203,,passed,,0.37557558503186783,0.2432250667509387,0.5058192831831186,0.9411071356918345,0.91394794351619,0.9622403315256368,0.24003374405191508,0.0,0.28589580686149935,1612,1574,38,1542,repope,3812,168,84,3896,84,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,logistic,StageC-logistic,supervised_comparator,supervised_comparator,test,test,pooled,0.5,20260508,,,,0.1,passed,,0.5972254051229866,0.4351649735489602,0.7445029401906574,0.9754564301477965,0.9551253778044717,0.9887543244197606,0.6062609024816514,0.6578947368421053,0.10038119440914867,1612,1574,38,1542,repope,3812,168,84,3896,84,28,0
internvl3.5-8b,internvl3.5-8b,repope,Sphere-Traj-LSTM,proxy_anchor,single_vmf,StageC-single_vmf,single_vmf,support_estimator,test,test,pooled,0.5,20260506,,,,,passed,,0.6578509873858334,0.5693288253622902,0.7404584298733881,0.9571313872799221,0.9434290327048948,0.968349026202806,0.6622831070257426,0.3120567375886525,0.14016172506738545,1625,1484,141,1496,repope,3689,352,176,3865,176,15,0
internvl3.5-8b,internvl3.5-8b,repope,Sphere-Traj-LSTM,proxy_anchor,mixture_vmf,StageC-mixture_vmf,mixture_vmf,support_estimator,test,test,pooled,0.5,20260506,,2,,,passed,,0.6578509873858334,0.5693288253622902,0.7404584298733881,0.9571313872799221,0.9434290327048948,0.968349026202806,0.6622831070257426,0.3120567375886525,0.14016172506738545,1625,1484,141,1496,repope,3689,352,176,3865,176,15,0
internvl3.5-8b,internvl3.5-8b,repope,Sphere-Traj-LSTM,proxy_anchor,knn,StageC-knn,knn,support_estimator,test,test,pooled,0.5,20260506,32,,,,passed,,0.6173237650998377,0.5287184932758417,0.7031543922349585,0.9422396819024679,0.9262336769904571,0.9568267593097951,0.6217477672996599,0.3120567375886525,0.2055256064690027,1625,1484,141,1496,repope,3689,352,176,3865,176,15,0
