model_alias,model_name,dataset_family,encoder_family,objective,method,readout,support_family,method_role,eval_split,metric_split,eval_scope,negative_budget_ratio,negative_budget_seed,selected_k,selected_K,selected_rho,selected_C,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,training_dataset_family,num_encoder_train_correct,num_encoder_train_hard_hallucination_available,num_encoder_train_hard_hallucination_used,num_encoder_train,num_encoder_train_hard_hallucination,num_excluded_false_negative,num_excluded_parsed_none
internvl3.5-8b,internvl3.5-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,single_vmf,StageC-single_vmf,single_vmf,support_estimator,test,test,pooled,0.5,20260506,,,,,passed,,0.2746658709112199,0.23549403392254403,0.3207701708047133,0.3851429379463128,0.334006813585293,0.441136748427187,0.27719523421027975,0.0,0.9786476868327402,432,281,151,361,repope,3689,352,176,3865,176,11,0
internvl3.5-8b,internvl3.5-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,mixture_vmf,StageC-mixture_vmf,mixture_vmf,support_estimator,test,test,pooled,0.5,20260506,,2,,,passed,,0.2746658709112199,0.23549403392254403,0.3207701708047133,0.3851429379463128,0.334006813585293,0.441136748427187,0.27719523421027975,0.0,0.9786476868327402,432,281,151,361,repope,3689,352,176,3865,176,11,0
internvl3.5-8b,internvl3.5-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,knn,StageC-knn,knn,support_estimator,test,test,pooled,0.5,20260506,32,,,,passed,,0.2676403944728506,0.22926064347144035,0.3172494456657236,0.3287690603568146,0.280314359417416,0.3830722806484176,0.270346810694438,0.006622516556291391,0.9608540925266904,432,281,151,361,repope,3689,352,176,3865,176,11,0
internvl3.5-8b,internvl3.5-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,radius_ball,StageC-radius_ball,radius_ball,support_estimator,test,test,pooled,0.5,20260506,,,0.015126563937934564,,passed,,0.30331928201568237,0.2583573362071205,0.3624734017664765,0.418821144917631,0.36489588946480994,0.4728608681079127,0.30547201549149966,0.0,0.9679715302491103,432,281,151,361,repope,3689,352,176,3865,176,11,0
internvl3.5-8b,internvl3.5-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,logistic,StageC-logistic,supervised_comparator,supervised_comparator,test,test,pooled,0.5,20260506,,,,0.1,passed,,0.5152378329786129,0.44464684304945035,0.6000161524086828,0.727534114208951,0.6810251221300584,0.7723790833618136,0.5153192797709228,0.052980132450331126,0.5124555160142349,432,281,151,361,repope,3689,352,176,3865,176,11,0
internvl3.5-8b,internvl3.5-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,single_vmf,StageC-single_vmf,single_vmf,support_estimator,test,test,pooled,0.5,20260507,,,,,passed,,0.24292639399867555,0.20918995991244538,0.2808818356694146,0.2825292828356626,0.23451760177787864,0.3315140343832544,0.24474948711463895,0.0,0.9537366548042705,432,281,151,361,repope,3689,352,176,3865,176,11,0
internvl3.5-8b,internvl3.5-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,mixture_vmf,StageC-mixture_vmf,mixture_vmf,support_estimator,test,test,pooled,0.5,20260507,,2,,,passed,,0.41426548918012385,0.351390498398851,0.48289120540965547,0.6534609130117132,0.6063654943592115,0.7025634911343013,0.4177803025194025,0.006622516556291391,0.5729537366548043,432,281,151,361,repope,3689,352,176,3865,176,11,0
internvl3.5-8b,internvl3.5-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,knn,StageC-knn,knn,support_estimator,test,test,pooled,0.5,20260507,32,,,,passed,,0.29027830527491566,0.24327162878626749,0.3432598304315697,0.4028893969032076,0.35210285259566626,0.4585752194731135,0.29278364289120296,0.006622516556291391,0.9822064056939501,432,281,151,361,repope,3689,352,176,3865,176,11,0
internvl3.5-8b,internvl3.5-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,radius_ball,StageC-radius_ball,radius_ball,support_estimator,test,test,pooled,0.5,20260507,,,0.01814310545981271,,passed,,0.42624022045719195,0.3542150233614489,0.5066362527243081,0.5901110037472602,0.5323964393874925,0.6447077489525984,0.41385304094122144,0.0,0.8718861209964412,432,281,151,361,repope,3689,352,176,3865,176,11,0
internvl3.5-8b,internvl3.5-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,logistic,StageC-logistic,supervised_comparator,supervised_comparator,test,test,pooled,0.5,20260507,,,,0.1,passed,,0.4198576993207705,0.35618080823263454,0.48837910251391825,0.6635243100563267,0.6175309885214443,0.7113913957818834,0.421178750791523,0.006622516556291391,0.5693950177935944,432,281,151,361,repope,3689,352,176,3865,176,11,0
internvl3.5-8b,internvl3.5-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,single_vmf,StageC-single_vmf,single_vmf,support_estimator,test,test,pooled,0.5,20260508,,,,,passed,,0.2875554185091673,0.2402503061352598,0.3395829022794293,0.39395724823831624,0.3415854482972311,0.4467937639375597,0.2903679214728702,0.006622516556291391,0.9501779359430605,432,281,151,361,repope,3689,352,176,3865,176,11,0
internvl3.5-8b,internvl3.5-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,mixture_vmf,StageC-mixture_vmf,mixture_vmf,support_estimator,test,test,pooled,0.5,20260508,,4,,,passed,,0.5405042285267542,0.46269524972461573,0.6218124667860313,0.7367019396196177,0.6919998329031402,0.7830944599066535,0.543231086236649,0.046357615894039736,0.5444839857651246,432,281,151,361,repope,3689,352,176,3865,176,11,0
internvl3.5-8b,internvl3.5-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,knn,StageC-knn,knn,support_estimator,test,test,pooled,0.5,20260508,32,,,,passed,,0.30316410776500075,0.24756525902764193,0.362934196913399,0.353750795409017,0.29914537797018703,0.4096173161753158,0.3052891009015761,0.033112582781456956,0.9750889679715302,432,281,151,361,repope,3689,352,176,3865,176,11,0
internvl3.5-8b,internvl3.5-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,radius_ball,StageC-radius_ball,radius_ball,support_estimator,test,test,pooled,0.5,20260508,,,0.017936525230252572,,passed,,0.3717289165560883,0.3076984205876059,0.4412004582595209,0.48766232235865287,0.42875907742559666,0.5508866278633043,0.35664944084119654,0.0,0.9679715302491103,432,281,151,361,repope,3689,352,176,3865,176,11,0
internvl3.5-8b,internvl3.5-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,logistic,StageC-logistic,supervised_comparator,supervised_comparator,test,test,pooled,0.5,20260508,,,,0.1,passed,,0.5435870124589525,0.4675510198337519,0.6257122714359834,0.7387994626570196,0.6944807177368313,0.7839977767870285,0.5300749609536699,0.0,0.5409252669039146,432,281,151,361,repope,3689,352,176,3865,176,11,0
minicpm-v-2_6,minicpm-v-2_6,dash-b,Sphere-Traj-LSTM,proxy_anchor,single_vmf,StageC-single_vmf,single_vmf,support_estimator,test,test,pooled,0.5,20260506,,,,,passed,,0.2441257703678379,0.19863177746950425,0.30016967497544655,0.5694600324229955,0.509277272082684,0.6259093831718595,0.2473424306442543,0.0,0.8703703703703703,423,324,99,394,repope,3776,80,40,3816,40,20,0
minicpm-v-2_6,minicpm-v-2_6,dash-b,Sphere-Traj-LSTM,proxy_anchor,mixture_vmf,StageC-mixture_vmf,mixture_vmf,support_estimator,test,test,pooled,0.5,20260506,,2,,,passed,,0.2441257703678379,0.19863177746950425,0.30016967497544655,0.5694600324229955,0.509277272082684,0.6259093831718595,0.2473424306442543,0.0,0.8703703703703703,423,324,99,394,repope,3776,80,40,3816,40,20,0
minicpm-v-2_6,minicpm-v-2_6,dash-b,Sphere-Traj-LSTM,proxy_anchor,knn,StageC-knn,knn,support_estimator,test,test,pooled,0.5,20260506,16,,,,passed,,0.17765093207098634,0.14404648393636008,0.22215777993835456,0.36213991769547327,0.3019427589406126,0.42612574734389735,0.18103760798871324,0.0,0.9722222222222222,423,324,99,394,repope,3776,80,40,3816,40,20,0
minicpm-v-2_6,minicpm-v-2_6,dash-b,Sphere-Traj-LSTM,proxy_anchor,radius_ball,StageC-radius_ball,radius_ball,support_estimator,test,test,pooled,0.5,20260506,,,0.015450013581692538,,passed,,0.1870835128148866,0.14676193461319206,0.23130599900635862,0.35366005736376105,0.2970897678016009,0.4142293956199844,0.17817433789834142,0.0,0.9938271604938271,423,324,99,394,repope,3776,80,40,3816,40,20,0
minicpm-v-2_6,minicpm-v-2_6,dash-b,Sphere-Traj-LSTM,proxy_anchor,logistic,StageC-logistic,supervised_comparator,supervised_comparator,test,test,pooled,0.5,20260506,,,,10.0,passed,,0.41819418169308437,0.33582124629243065,0.5114129854960139,0.7399925177702955,0.6904665704874182,0.7864830833847192,0.42376102606567434,0.030303030303030304,0.6450617283950617,423,324,99,394,repope,3776,80,40,3816,40,20,0
minicpm-v-2_6,minicpm-v-2_6,dash-b,Sphere-Traj-LSTM,proxy_anchor,single_vmf,StageC-single_vmf,single_vmf,support_estimator,test,test,pooled,0.5,20260507,,,,,passed,,0.24881140299196086,0.20241089662392048,0.30373109642264695,0.5820862950492579,0.5209413771897353,0.6368983236097034,0.25227563776507544,0.0,0.9104938271604939,423,324,99,394,repope,3776,80,40,3816,40,20,0
minicpm-v-2_6,minicpm-v-2_6,dash-b,Sphere-Traj-LSTM,proxy_anchor,mixture_vmf,StageC-mixture_vmf,mixture_vmf,support_estimator,test,test,pooled,0.5,20260507,,2,,,passed,,0.24881140299196086,0.20241089662392048,0.30373109642264695,0.5820862950492579,0.5209413771897353,0.6368983236097034,0.25227563776507544,0.0,0.9104938271604939,423,324,99,394,repope,3776,80,40,3816,40,20,0
minicpm-v-2_6,minicpm-v-2_6,dash-b,Sphere-Traj-LSTM,proxy_anchor,knn,StageC-knn,knn,support_estimator,test,test,pooled,0.5,20260507,32,,,,passed,,0.19353072987516354,0.1559692006567248,0.24141129104026166,0.4167913704950742,0.3470464213772621,0.47931019229904925,0.1973324100367851,0.0,0.9290123456790124,423,324,99,394,repope,3776,80,40,3816,40,20,0
