epoch,loss,model_alias,objective,negative_budget_ratio,negative_budget_seed
5.0,9.94378503342887,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260506
6.0,9.31148242632711,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260506
7.0,9.034861997724619,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260506
8.0,9.498509615766642,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260506
9.0,8.934655032116348,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260506
10.0,9.770507718647888,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260506
11.0,11.517983654106292,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260506
12.0,7.079516398851716,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260506
13.0,9.85501303689899,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260506
14.0,6.374515409635304,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260506
15.0,4.895791272855405,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260506
16.0,4.3399974640243055,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260506
17.0,5.961756093541806,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260506
18.0,8.413362517394411,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260506
19.0,6.268425186006672,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260506
20.0,3.5765181282883187,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260506
1.0,12.171758887341303,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260507
2.0,11.539774942618036,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260507
3.0,10.606813840900307,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260507
4.0,10.205983527558452,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260507
5.0,10.428970400215356,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260507
6.0,9.757775577015293,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260507
7.0,9.431512809911794,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260507
8.0,10.190311281574743,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260507
9.0,9.038889918554629,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260507
10.0,8.751328847763906,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260507
11.0,7.4944934683662385,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,0.5,20260507
