row_type,model_alias,objective,selected_k,selected_on,frozen_for_test,selection_metric,selection_pr_auc,selection_roc_auc,num_bank_correct,negative_budget_ratio,negative_budget_seed,metric_status
selected,minicpm-v-2_6,proxy_anchor,32,repope/cal,True,pr_auc,0.052335910764601645,0.7749352331606217,1529,0.25,20260507,passed
selected,minicpm-v-2_6,proxy_anchor,32,repope/cal,True,pr_auc,0.31495549918042476,0.9420336787564767,1529,0.25,20260508,passed
selected,gemma-3-12b-it,proxy_anchor,32,repope/cal,True,pr_auc,0.34897830107008143,0.8168891971562338,1443,1.0,20260506,passed
selected,gemma-3-12b-it,proxy_anchor,32,repope/cal,True,pr_auc,0.8078340105307643,0.9670539275186405,1443,1.0,20260507,passed
selected,gemma-3-12b-it,proxy_anchor,32,repope/cal,True,pr_auc,0.6930445987465148,0.9447199583839085,1443,1.0,20260508,passed
selected,gemma-3-12b-it,proxy_anchor,32,repope/cal,True,pr_auc,0.7591739628019348,0.9512571527657362,1443,0.5,20260506,passed
selected,gemma-3-12b-it,proxy_anchor,32,repope/cal,True,pr_auc,0.7627931933644806,0.9624414773712502,1443,0.5,20260507,passed
selected,gemma-3-12b-it,proxy_anchor,32,repope/cal,True,pr_auc,0.7851070056865934,0.9559389630657187,1443,0.5,20260508,passed
selected,gemma-3-12b-it,proxy_anchor,32,repope/cal,True,pr_auc,0.7299388906894164,0.9632217790879141,1443,0.25,20260506,passed
selected,gemma-3-12b-it,proxy_anchor,8,repope/cal,True,pr_auc,0.7487075419130175,0.9616611756545863,1443,0.25,20260507,passed
selected,gemma-3-12b-it,proxy_anchor,32,repope/cal,True,pr_auc,0.7537316740165287,0.9604473729842206,1443,0.25,20260508,passed
selected,gemma-3-12b-it,proxy_anchor,32,repope/cal,True,pr_auc,0.7646578593613267,0.9426391538061384,1443,0.1,20260506,passed
selected,gemma-3-12b-it,proxy_anchor,8,repope/cal,True,pr_auc,0.7577808735212087,0.9470261834576037,1443,0.1,20260507,passed
