model_alias,dataset_family,objective,negative_budget_ratio,negative_budget_seed,num_bank_correct,embedding_dim,mean_resultant_length,concentration_proxy
qwen3-vl-8b,pope,proxy_anchor,0.25,20260506,1609,128,0.9635718297079454,1711.780995888054
qwen3-vl-8b,dash-b,proxy_anchor,0.25,20260506,381,128,0.9871514399488576,4911.2199160328255
qwen3-vl-8b,repope,proxy_anchor,0.25,20260507,1542,128,0.9854128443661113,4322.146892750474
qwen3-vl-8b,pope,proxy_anchor,0.25,20260507,1609,128,0.9836864531752495,3861.443093465534
qwen3-vl-8b,dash-b,proxy_anchor,0.25,20260507,381,128,0.9964106946757418,17660.63495981696
qwen3-vl-8b,repope,proxy_anchor,0.25,20260508,1542,128,0.9590656825224363,1519.811290385374
qwen3-vl-8b,pope,proxy_anchor,0.25,20260508,1609,128,0.9495064806563295,1225.964288798829
qwen3-vl-8b,dash-b,proxy_anchor,0.25,20260508,381,128,0.9714892809350916,2195.994832725761
internvl3.5-8b,repope,proxy_anchor,1.0,20260506,1496,128,0.8960576658837419,578.3211784633785
internvl3.5-8b,pope,proxy_anchor,1.0,20260506,1620,128,0.8708036020644996,458.42794165003943
internvl3.5-8b,dash-b,proxy_anchor,1.0,20260506,361,128,0.9240810530960579,804.3396593765158
internvl3.5-8b,repope,proxy_anchor,1.0,20260507,1496,128,0.796287530030278,277.1594578574633
internvl3.5-8b,pope,proxy_anchor,1.0,20260507,1620,128,0.7563876375206211,225.26264393322447
internvl3.5-8b,dash-b,proxy_anchor,1.0,20260507,361,128,0.8453532998902975,377.0479510538685
internvl3.5-8b,repope,proxy_anchor,1.0,20260508,1496,128,0.9206081433101877,767.6883055943695
internvl3.5-8b,pope,proxy_anchor,1.0,20260508,1620,128,0.9068109718495537,649.0158258854226
internvl3.5-8b,dash-b,proxy_anchor,1.0,20260508,361,128,0.9622061818531442,1648.7696297904556
internvl3.5-8b,repope,proxy_anchor,0.5,20260506,1496,128,0.9606316596100405,1581.544329458998
internvl3.5-8b,pope,proxy_anchor,0.5,20260506,1620,128,0.9507686612507745,1258.2283261452671
internvl3.5-8b,dash-b,proxy_anchor,0.5,20260506,361,128,0.9696469069610654,2060.774162568947
internvl3.5-8b,repope,proxy_anchor,0.5,20260507,1496,128,0.9258621468843056,824.46614449009
internvl3.5-8b,pope,proxy_anchor,0.5,20260507,1620,128,0.8969131570936711,583.4069699451209
internvl3.5-8b,dash-b,proxy_anchor,0.5,20260507,361,128,0.8807328193268578,499.5353499648225
internvl3.5-8b,repope,proxy_anchor,0.5,20260508,1496,128,0.9343158883493867,934.8544222958476
internvl3.5-8b,pope,proxy_anchor,0.5,20260508,1620,128,0.9157700011459412,721.6580023211383
internvl3.5-8b,dash-b,proxy_anchor,0.5,20260508,361,128,0.9313077024184118,892.4642613066271
internvl3.5-8b,repope,proxy_anchor,0.25,20260506,1496,128,0.953916312031959,1346.3829965937766
internvl3.5-8b,pope,proxy_anchor,0.25,20260506,1620,128,0.9319584245789694,901.3166918310777
internvl3.5-8b,dash-b,proxy_anchor,0.25,20260506,361,128,0.953952449122158,1347.465000848384
internvl3.5-8b,repope,proxy_anchor,0.25,20260507,1496,128,0.9573889392698662,1458.739617189122
internvl3.5-8b,pope,proxy_anchor,0.25,20260507,1620,128,0.9429588684593174,1081.492619552341
internvl3.5-8b,dash-b,proxy_anchor,0.25,20260507,361,128,0.9465493265351921,1156.335943829107
internvl3.5-8b,repope,proxy_anchor,0.25,20260508,1496,128,0.9625690124832432,1665.0623948687683
internvl3.5-8b,pope,proxy_anchor,0.25,20260508,1620,128,0.9535680010987613,1336.0402892850361
internvl3.5-8b,dash-b,proxy_anchor,0.25,20260508,361,128,0.9658027998597021,1825.5406418837545
internvl3.5-8b,repope,proxy_anchor,0.1,20260506,1496,128,0.9671515654222124,1901.8080145227711
internvl3.5-8b,pope,proxy_anchor,0.1,20260506,1620,128,0.9607527387388664,1586.5225212937407
internvl3.5-8b,dash-b,proxy_anchor,0.1,20260506,361,128,0.9827514269999119,3650.4205163194647
internvl3.5-8b,repope,proxy_anchor,0.1,20260507,1496,128,0.9537996633597138,1342.9018857474668
internvl3.5-8b,pope,proxy_anchor,0.1,20260507,1620,128,0.9233922285808486,796.8064330577396
internvl3.5-8b,dash-b,proxy_anchor,0.1,20260507,361,128,0.8528980573224428,398.2556882317688
internvl3.5-8b,repope,proxy_anchor,0.1,20260508,1496,128,0.9676400188381963,1930.9957537972184
internvl3.5-8b,pope,proxy_anchor,0.1,20260508,1620,128,0.9550181741060293,1380.1557471420565
internvl3.5-8b,dash-b,proxy_anchor,0.1,20260508,361,128,0.916931633102974,732.2216576433556
minicpm-v-2_6,repope,proxy_anchor,1.0,20260506,1529,128,0.8479415702964466,384.08801220191174
minicpm-v-2_6,pope,proxy_anchor,1.0,20260506,1582,128,0.8365811261336512,354.833476333952
minicpm-v-2_6,dash-b,proxy_anchor,1.0,20260506,394,128,0.9234053017803615,796.9481469527045
minicpm-v-2_6,repope,proxy_anchor,1.0,20260507,1529,128,0.9336062253409902,924.5083840861873
minicpm-v-2_6,pope,proxy_anchor,1.0,20260507,1582,128,0.9240658823238772,804.1722771246009
minicpm-v-2_6,dash-b,proxy_anchor,1.0,20260507,394,128,0.9548249884373573,1374.115453850956
minicpm-v-2_6,repope,proxy_anchor,1.0,20260508,1529,128,0.9472546726288803,1172.2353530318028
minicpm-v-2_6,pope,proxy_anchor,1.0,20260508,1582,128,0.9416209663518417,1055.9562608935141
minicpm-v-2_6,dash-b,proxy_anchor,1.0,20260508,394,128,0.956620371267544,1432.3234355323673
minicpm-v-2_6,repope,proxy_anchor,0.5,20260506,1529,128,0.8852441881775898,520.5514853546638
minicpm-v-2_6,pope,proxy_anchor,0.5,20260506,1582,128,0.8814226954545813,502.6459986033019
minicpm-v-2_6,dash-b,proxy_anchor,0.5,20260506,394,128,0.9748904894341742,2497.7434606167944
minicpm-v-2_6,repope,proxy_anchor,0.5,20260507,1529,128,0.9723800733282413,2267.84253066912
minicpm-v-2_6,pope,proxy_anchor,0.5,20260507,1582,128,0.9713244407466747,2183.1888267532413
minicpm-v-2_6,dash-b,proxy_anchor,0.5,20260507,394,128,0.9934604166066741,9679.237972448214
minicpm-v-2_6,repope,proxy_anchor,0.5,20260508,1529,128,0.9270032650115367,837.8762038554269
minicpm-v-2_6,pope,proxy_anchor,0.5,20260508,1582,128,0.921087608250082,772.5567362845204
