model_alias,model_name,dataset_family,encoder_family,objective,readout,eval_split,metric_split,eval_scope,negative_budget_ratio,negative_budget_seed,selected_k,budget_status,budget_skip_reason,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,num_encoder_train_correct,num_encoder_train_hard_hallucination_available,num_encoder_train_hard_hallucination_used,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,1.0,20260507,32,evaluated,,passed,,0.5014898405121319,0.3333249801533207,0.637648781735973,0.9358322744599745,0.897973292630936,0.9656055992586112,0.5081000630876842,0.5,0.31321473951715373,1612,1574,38,1542,3812,168,168,3980,168,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,1.0,20260508,32,evaluated,,passed,,0.449917694527256,0.2844625093567088,0.6059082503598703,0.9365679127934194,0.9069747867002089,0.9625070260479458,0.462213249345939,0.5263157894736842,0.26493011435832275,1612,1574,38,1542,3812,168,168,3980,168,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,0.5,20260506,32,evaluated,,passed,,0.44569737688913424,0.2926330709648256,0.5973556357143125,0.9510967698789541,0.9243235850591223,0.9771046437782119,0.4559415787502352,0.42105263157894735,0.3418043202033037,1612,1574,38,1542,3812,168,84,3896,84,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,0.5,20260507,8,evaluated,,passed,,0.14361887422876593,0.08291122116237386,0.23286892075423346,0.8826824048685882,0.8419889418536156,0.9205128758494754,0.16483876870888456,0.15789473684210525,0.30749682337992373,1612,1574,38,1542,3812,168,84,3896,84,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,0.5,20260508,32,evaluated,,passed,,0.5890827214192454,0.41960933509373444,0.7384333172281458,0.9725974720791815,0.9512300664830942,0.9871714312626952,0.5981365234571179,0.6578947368421053,0.17662007623888182,1612,1574,38,1542,3812,168,84,3896,84,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,0.25,20260506,32,evaluated,,passed,,0.4437457812768442,0.2880348411414583,0.5931730033772181,0.9488229786664883,0.9252202582742615,0.9703750878794535,0.45096562509393107,0.2894736842105263,0.18742058449809404,1612,1574,38,1542,3812,168,42,3854,42,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,0.25,20260507,32,evaluated,,passed,,0.49695559196575617,0.3346936183874139,0.6326520344654424,0.9294288771483983,0.9008077907169441,0.9556180178503859,0.499336586480605,0.39473684210526316,0.2617534942820839,1612,1574,38,1542,3812,168,42,3854,42,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,0.25,20260508,32,evaluated,,passed,,0.40666872175821545,0.25521558215292345,0.5738492457905108,0.9592556677589781,0.9401638981581154,0.9752752649734765,0.42595749754531775,0.42105263157894735,0.15756035578144853,1612,1574,38,1542,3812,168,42,3854,42,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,0.1,20260506,,skipped,ratio 0.1 would leave fewer than 20 hard negatives (16),skipped,ratio 0.1 would leave fewer than 20 hard negatives (16),nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,3812,168,0,3812,0,0,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,0.1,20260507,,skipped,ratio 0.1 would leave fewer than 20 hard negatives (16),skipped,ratio 0.1 would leave fewer than 20 hard negatives (16),nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,3812,168,0,3812,0,0,0
